Neil_Baldwin_(writer)#0_3,3,1,William Carlos Williams,http://dbpedia.org/resource/William_Carlos_Williams_House
Neil_Baldwin_(writer)#0_3,3,2,Man Ray,http://dbpedia.org/resource/Man_Ray_(bar)
Neil_Baldwin_(writer)#0_3,3,3,Thomas Edison,http://dbpedia.org/resource/Thomas_Edison_National_Historical_Park
Neil_Baldwin_(writer)#0_3,3,4,Quetzalcoatl,http://dbpedia.org/resource/1915_Quetzálcoatl
Neil_Baldwin_(writer)#0_3,3,5,"Henry Ford, The International Jew, The Dearborn Independent",http://dbpedia.org/resource/The_International_Jew
Neil_Baldwin_(writer)#0_3,3,6,John Winthrop; The Massachusetts Bay Company,http://dbpedia.org/resource/John_Humphrey_(Massachusetts)
Neil_Baldwin_(writer)#0_3,3,7,Thomas Paine; Common Sense,http://dbpedia.org/resource/Thomas_Reid
Neil_Baldwin_(writer)#0_3,3,8,Pierre Eugene du Simitiere; E pluribus unum,http://dbpedia.org/resource/E_Pluribus_Unum_(Wilson)
Neil_Baldwin_(writer)#0_3,3,9,Ralph Waldo Emerson; Self-Reliance,http://dbpedia.org/resource/Ralph_Waldo_Emerson_House
Neil_Baldwin_(writer)#0_3,3,10,John L. O'Sullivan; Manifest destiny,http://dbpedia.org/resource/John_O'Sullivan_(engineer)
Neil_Baldwin_(writer)#0_3,3,11,Henry George; Progress and Poverty,http://dbpedia.org/resource/Progress_and_Poverty
Neil_Baldwin_(writer)#0_3,3,12,Jane Addams; Hull House,http://dbpedia.org/resource/Hull_House
Neil_Baldwin_(writer)#0_3,3,13,Israel Zangwill; The Melting Pot,http://dbpedia.org/resource/The_Melting_Pot_(play)
Neil_Baldwin_(writer)#0_3,3,14,Carter G. Woodson; Association for the Study of African American Life and History,http://dbpedia.org/resource/Association_for_the_Study_of_African_American_Life_and_History
Neil_Baldwin_(writer)#0_3,3,15,George Marshall; The Marshall Plan,http://dbpedia.org/resource/Marshall_Plan
