"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"5","1","1979: 5,352 (over Conservatives)[85]","http://dbpedia.org/resource/Case_citation","http://dbpedia.org/resource/UK_general_election._1979 http://dbpedia.org/resource/United_Kingdom_general_election,_1979 http://dbpedia.org/resource/UK_general_election,_1979 http://dbpedia.org/resource/1979_UK_General_Election http://dbpedia.org/resource/UK_general_election_1979 http://dbpedia.org/resource/UK_election_1979 http://dbpedia.org/resource/1979_UK_general_election http://dbpedia.org/resource/1979_general_election_(UK) http://dbpedia.org/resource/UK_1979_general_election"
"5","2","October 1974: 8,248 (over Conservatives)[86]","http://dbpedia.org/resource/The_Rumble_in_the_Jungle","http://dbpedia.org/resource/United_Kingdom_general_election,_October_1974 http://dbpedia.org/resource/October_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(October) http://dbpedia.org/resource/October_1974_UK_general_election http://dbpedia.org/resource/UK_October_1974_general_election http://dbpedia.org/resource/UK_general_election,_October_1974 http://dbpedia.org/resource/UK_general_election,_1974_(October)"
"5","4","1979: 1,734 (over Labour)[88]","http://dbpedia.org/resource/Case_citation","http://dbpedia.org/resource/UK_general_election._1979 http://dbpedia.org/resource/United_Kingdom_general_election,_1979 http://dbpedia.org/resource/UK_general_election,_1979 http://dbpedia.org/resource/1979_UK_General_Election http://dbpedia.org/resource/UK_general_election_1979 http://dbpedia.org/resource/UK_election_1979 http://dbpedia.org/resource/1979_UK_general_election http://dbpedia.org/resource/1979_general_election_(UK) http://dbpedia.org/resource/UK_1979_general_election"
"5","5","October 1974: 2,177 (over Conservatives)[89]","nan","http://dbpedia.org/resource/United_Kingdom_general_election,_October_1974 http://dbpedia.org/resource/October_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(October) http://dbpedia.org/resource/October_1974_UK_general_election http://dbpedia.org/resource/UK_October_1974_general_election http://dbpedia.org/resource/UK_general_election,_October_1974 http://dbpedia.org/resource/UK_general_election,_1974_(October)"
"5","6","February 1974: 1,546 (over Conservatives)[90]","http://dbpedia.org/resource/February_1974_United_Kingdom_general_election","http://dbpedia.org/resource/UK_general_election,_1974_(February) http://dbpedia.org/resource/February_1974_UK_General_Election http://dbpedia.org/resource/February_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_elections,_1974_(February) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(February) http://dbpedia.org/resource/UK_February_1974_general_election http://dbpedia.org/resource/February_general_election_of_1974 http://dbpedia.org/resource/UK_general_election,_February_1974 http://dbpedia.org/resource/February_1974_general_election http://dbpedia.org/resource/Feburary_1974_UK_general_election http://dbpedia.org/resource/February_1974_UK_general_election http://dbpedia.org/resource/February_General_Election_of_1974 http://dbpedia.org/resource/United_Kingdom_general_election,_February_1974"
"5","7","1979: 2,352 (over Labour)[91]","http://dbpedia.org/resource/Case_citation","http://dbpedia.org/resource/UK_general_election._1979 http://dbpedia.org/resource/United_Kingdom_general_election,_1979 http://dbpedia.org/resource/UK_general_election,_1979 http://dbpedia.org/resource/1979_UK_General_Election http://dbpedia.org/resource/UK_general_election_1979 http://dbpedia.org/resource/UK_election_1979 http://dbpedia.org/resource/1979_UK_general_election http://dbpedia.org/resource/1979_general_election_(UK) http://dbpedia.org/resource/UK_1979_general_election"
"5","8","October 1974: 1,666 (over Labour)[92]","nan","http://dbpedia.org/resource/United_Kingdom_general_election,_October_1974 http://dbpedia.org/resource/October_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(October) http://dbpedia.org/resource/October_1974_UK_general_election http://dbpedia.org/resource/UK_October_1974_general_election http://dbpedia.org/resource/UK_general_election,_October_1974 http://dbpedia.org/resource/UK_general_election,_1974_(October)"
"5","9","February 1974: 719 (over Labour)[93]","http://dbpedia.org/resource/1974_in_music","http://dbpedia.org/resource/UK_general_election,_1974_(February) http://dbpedia.org/resource/February_1974_UK_General_Election http://dbpedia.org/resource/February_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_elections,_1974_(February) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(February) http://dbpedia.org/resource/UK_February_1974_general_election http://dbpedia.org/resource/February_general_election_of_1974 http://dbpedia.org/resource/UK_general_election,_February_1974 http://dbpedia.org/resource/February_1974_general_election http://dbpedia.org/resource/Feburary_1974_UK_general_election http://dbpedia.org/resource/February_1974_UK_general_election http://dbpedia.org/resource/February_General_Election_of_1974 http://dbpedia.org/resource/United_Kingdom_general_election,_February_1974"
"5","10","1979: 4,381 (over Conservatives)[95]","nan","http://dbpedia.org/resource/UK_general_election._1979 http://dbpedia.org/resource/United_Kingdom_general_election,_1979 http://dbpedia.org/resource/UK_general_election,_1979 http://dbpedia.org/resource/1979_UK_General_Election http://dbpedia.org/resource/UK_general_election_1979 http://dbpedia.org/resource/UK_election_1979 http://dbpedia.org/resource/1979_UK_general_election http://dbpedia.org/resource/1979_general_election_(UK) http://dbpedia.org/resource/UK_1979_general_election"
"5","11","October 1974: 6,901 (over Conservatives)[96]","nan","http://dbpedia.org/resource/United_Kingdom_general_election,_October_1974 http://dbpedia.org/resource/October_1974_general_election_(UK) http://dbpedia.org/resource/United_Kingdom_general_election,_1974_(October) http://dbpedia.org/resource/October_1974_UK_general_election http://dbpedia.org/resource/UK_October_1974_general_election http://dbpedia.org/resource/UK_general_election,_October_1974 http://dbpedia.org/resource/UK_general_election,_1974_(October)"
