"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","St. George","http://dbpedia.org/resource/George_H._W._Bush","http://dbpedia.org/resource/St._George_DRLFC http://dbpedia.org/resource/St_George_Dragons http://dbpedia.org/resource/St._George_Dragons"
"1","2","Balmain","http://dbpedia.org/resource/Pierre_Balmain","http://dbpedia.org/resource/Balmain_Ryde-Eastwood_Tigers http://dbpedia.org/resource/Balmain_Ryde_Eastwood_Tigers http://dbpedia.org/resource/Balmain_Tigers http://dbpedia.org/resource/Balmain_DRLFC http://dbpedia.org/resource/Balmain_District_Rugby_League_Football_Club http://dbpedia.org/resource/The_Balmain_Tigers"
"1","3","Manly","http://dbpedia.org/resource/Manly_Council","http://dbpedia.org/resource/Manly_Warringah_Sea_Eagles http://dbpedia.org/resource/Manly-Warringah_Rugby_League_Football_Club http://dbpedia.org/resource/MWSE http://dbpedia.org/resource/Manly-Warringah_DRLFC http://dbpedia.org/resource/Manly_Sea_Eagles http://dbpedia.org/resource/Manly-Warringah_Sea_Eagles http://dbpedia.org/resource/Manly_Seaeagles http://dbpedia.org/resource/Manly-Warringah"
"1","4","Newtown","http://dbpedia.org/resource/Connecticut","http://dbpedia.org/resource/Newtown_Jets http://dbpedia.org/resource/Newtown_DRLFC http://dbpedia.org/resource/Newtown_""Bluebags"""
"1","5","Western Suburbs","http://dbpedia.org/resource/Sydney","http://dbpedia.org/resource/Wests_Magpies_Australia http://dbpedia.org/resource/Western_Suburbs_magpies http://dbpedia.org/resource/Wests_Magpies http://dbpedia.org/resource/Western_Suburbs_Magpies"
"1","6","South Sydney","http://dbpedia.org/resource/New_South_Wales","http://dbpedia.org/resource/Pride_of_the_League http://dbpedia.org/resource/Rabbitohs http://dbpedia.org/resource/South_Sydney_Football_Club http://dbpedia.org/resource/The_South_Sydney_Rabbitohs http://dbpedia.org/resource/George_Piggins_Medal http://dbpedia.org/resource/South_Sydney_Rabbitohs http://dbpedia.org/resource/The_Rabbitohs http://dbpedia.org/resource/South_Sydney_Rabbitohs_2016_Squad http://dbpedia.org/resource/South_Sydney_DRLFC"
"1","7","Parramatta","http://dbpedia.org/resource/Parramatta_railway_station","http://dbpedia.org/resource/Parramatta_DRLFC http://dbpedia.org/resource/Parramatta_Eels http://dbpedia.org/resource/Parramatta_District_Rugby_League_Football_Club"
"1","8","Canterbury","http://dbpedia.org/resource/Canterbury_Cathedral","http://dbpedia.org/resource/Bulldogs_(NRL_team) http://dbpedia.org/resource/Bulldogs_Rugby_League_Football_Club http://dbpedia.org/resource/Bulldogs_(rugby_league_club) http://dbpedia.org/resource/Canterbury_Bankstown_Bulldogs http://dbpedia.org/resource/Canterbury-Bankstown_Bulldogs http://dbpedia.org/resource/Canterbury_Bulldogs http://dbpedia.org/resource/Bulldogs_(rugby_league_team) http://dbpedia.org/resource/Canterbury-Bankstown_DRLFC http://dbpedia.org/resource/Sydney_Bulldogs http://dbpedia.org/resource/Cbbd http://dbpedia.org/resource/Canterbury_Bankstown_Bulldogs_Rugby_League_Club http://dbpedia.org/resource/Bulldogs_RLFC"
"1","9","North Sydney","http://dbpedia.org/resource/North_Sydney_Council","http://dbpedia.org/resource/North_Sydney_squad_–_NSWRFL_season_1922_premiers http://dbpedia.org/resource/North_Sydney_squad_-_NSWRFL_season_1922_premiers http://dbpedia.org/resource/North_Sydney_DRLFC http://dbpedia.org/resource/Bring_back_the_bears http://dbpedia.org/resource/North_Sydney_Bears"
"1","10","Eastern Suburbs","http://dbpedia.org/resource/Sydney","http://dbpedia.org/resource/Sydney_City_Roosters http://dbpedia.org/resource/Eastern_Suburb_Roosters http://dbpedia.org/resource/Sydney_Roosters http://dbpedia.org/resource/Sydney_Roosters_squad_-_2002_NRL_premiers http://dbpedia.org/resource/Eastern_Suburbs_Roosters http://dbpedia.org/resource/Sydney_Roosters_2010"
