"F1: 0.60000","Precision: 0.60000","Recall: 0.60000"
"Col","Row","Value","Submitted URI","Correct URI's"
"2","3","Home Ministry (talk)","http://dbpedia.org/resource/Minister_(government)","http://dbpedia.org/resource/Japanese_Home_Minister http://dbpedia.org/resource/Home_Ministry_(Japan) http://dbpedia.org/resource/Home_Ministry http://dbpedia.org/resource/Naimusho"
"2","7","Zeta under the CrnojeviÄ\u0087i (talk)","http://dbpedia.org/resource/AFC_U-19_Championship","http://dbpedia.org/resource/Zeta_under_the_Crnojevići"
"2","8","Cold War (1947â\u0080\u009353) (talk)","http://dbpedia.org/resource/Cold_War","http://dbpedia.org/resource/Cold_War_(1947–53)"
"2","11","Ibar (river) (talk)","http://dbpedia.org/resource/Valley","http://dbpedia.org/resource/Ibar_(rijeka) http://dbpedia.org/resource/Ibar_River http://dbpedia.org/resource/River_Ibar http://dbpedia.org/resource/Ibar_river http://dbpedia.org/resource/Ibar_(river)"
"2","14","Millet (Ottoman Empire) (talk)","http://dbpedia.org/resource/Jean-François_Millet","http://dbpedia.org/resource/Millet_system http://dbpedia.org/resource/Ottoman_millet http://dbpedia.org/resource/Protestant_Millet http://dbpedia.org/resource/Millet_(Ottoman_Empire) http://dbpedia.org/resource/Melet http://dbpedia.org/resource/Millah http://dbpedia.org/resource/Catholic_millet"
"2","15","History of Kosovo (talk)","http://dbpedia.org/resource/Serbia","http://dbpedia.org/resource/History_of_kosovo http://dbpedia.org/resource/History_of_Kosovo_and_Metohija http://dbpedia.org/resource/History_of_Kosovo http://dbpedia.org/resource/History_of_medieval_kosovo http://dbpedia.org/resource/Kosovo_in_FR_Yugoslavia http://dbpedia.org/resource/Short_history_of_Kosovo"
"2","18","Turkish War of Independence (talk)","http://dbpedia.org/resource/Greco-Turkish_War_(1919–1922)","http://dbpedia.org/resource/Turkish_Revolution http://dbpedia.org/resource/Italian_occupation_of_Antalya http://dbpedia.org/resource/Turkish_war_of_independence http://dbpedia.org/resource/İstiklâl_Harbi http://dbpedia.org/resource/Turkish_War_of_Independence_(1919-1922) http://dbpedia.org/resource/Turkish_War_of_Independence http://dbpedia.org/resource/Turkish_revolution http://dbpedia.org/resource/Wars_of_the_Turkish_Revolution http://dbpedia.org/resource/Turkish_Independence_war http://dbpedia.org/resource/Turkish_Independence_War http://dbpedia.org/resource/War_of_Turkish_Independence http://dbpedia.org/resource/Turkish_War_of_Liberation http://dbpedia.org/resource/Turkish_National_War_of_Liberation http://dbpedia.org/resource/War_of_the_Turkish_Revolution http://dbpedia.org/resource/Turkish_National_Campaign"
"2","19","Sovietization of the Baltic states (talk)","http://dbpedia.org/resource/Occupation_of_the_Baltic_states","http://dbpedia.org/resource/Sovietization_of_the_Baltic_States http://dbpedia.org/resource/Sovietization_of_the_Baltic_states"
"2","20","Chivalric romance (talk)","http://dbpedia.org/resource/Chivalric_sagas","http://dbpedia.org/resource/Medieval_romance_literature http://dbpedia.org/resource/Romance_of_chivalry http://dbpedia.org/resource/Chivalric_Romance http://dbpedia.org/resource/Romance_genre http://dbpedia.org/resource/Romancier http://dbpedia.org/resource/Chivalric_epic http://dbpedia.org/resource/Romance_(heroic_literature) http://dbpedia.org/resource/Höfische_Epik http://dbpedia.org/resource/Chivalric_novel http://dbpedia.org/resource/Romance_(poetry) http://dbpedia.org/resource/Heroic_romance http://dbpedia.org/resource/Courtly_romance http://dbpedia.org/resource/Chivalresque http://dbpedia.org/resource/Medieval_romance http://dbpedia.org/resource/Literary_romance http://dbpedia.org/resource/Medieval_romances http://dbpedia.org/resource/Chivalric_romance http://dbpedia.org/resource/Romance_Fiction http://dbpedia.org/resource/Metrical_romance http://dbpedia.org/resource/Roman_courtois"
"2","21","Byzantine Anatolia (talk)","http://dbpedia.org/resource/Ephesus","http://dbpedia.org/resource/Byzantine_Anatolia http://dbpedia.org/resource/Byzantine_Turkey http://dbpedia.org/resource/History_of_Anatolia_(400-1000) http://dbpedia.org/resource/Medieval_Anatolia http://dbpedia.org/resource/History_of_Anatolia_(400–1000)"
"2","27","Erenik (talk)","nan","http://dbpedia.org/resource/Ribnik_river http://dbpedia.org/resource/Ribnik_River_(Serbia) http://dbpedia.org/resource/Erenik"
"2","30","Tutush I (talk)","http://dbpedia.org/resource/I","http://dbpedia.org/resource/Tutus http://dbpedia.org/resource/Tutush_I http://dbpedia.org/resource/Tag_Ud_Dawla_Tutush http://dbpedia.org/resource/Tutush_Shah http://dbpedia.org/resource/Tutush"
