"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"3","1","William Carlos Williams","http://dbpedia.org/resource/William_Carlos_Williams_House","http://dbpedia.org/resource/The_Great_American_Novel_(Williams) http://dbpedia.org/resource/W.C._Williams http://dbpedia.org/resource/William_Carlos_Williams"
"3","2","Man Ray","http://dbpedia.org/resource/Man_Ray_(bar)","http://dbpedia.org/resource/Emmanuel_Radenski http://dbpedia.org/resource/Ray,_Man http://dbpedia.org/resource/Man_Ray_(dadaist) http://dbpedia.org/resource/Man_Ray http://dbpedia.org/resource/Emmanuel_Radnitzky http://dbpedia.org/resource/Man_Ray_(surrealist)"
"3","3","Thomas Edison","http://dbpedia.org/resource/Thomas_Edison_National_Historical_Park","http://dbpedia.org/resource/Thomas_edison http://dbpedia.org/resource/Thomas_Edision http://dbpedia.org/resource/Tom_alva_edison http://dbpedia.org/resource/Thomas_edison_phonograph http://dbpedia.org/resource/Thomas_Edison http://dbpedia.org/resource/About_thomas_edison http://dbpedia.org/resource/Thomas_Alva_Edison http://dbpedia.org/resource/Mina_Miller_Edison http://dbpedia.org/resource/Tomas_Edison http://dbpedia.org/resource/Biography_of_thomas_edison http://dbpedia.org/resource/Thomas_Alba_Edison http://dbpedia.org/resource/Thomas_alva_edison http://dbpedia.org/resource/ThomasEdison http://dbpedia.org/resource/Tom_Edison http://dbpedia.org/resource/Thomas_edison_the_inventor http://dbpedia.org/resource/Thomas_A._Edison http://dbpedia.org/resource/The_Wizard_of_Menlo_Park http://dbpedia.org/resource/Wizard_of_Menlo_Park http://dbpedia.org/resource/Thomas_A_Edison http://dbpedia.org/resource/Alva_Edison"
"3","4","Quetzalcoatl","http://dbpedia.org/resource/1915_Quetzálcoatl","http://dbpedia.org/resource/Quatzalcoatl http://dbpedia.org/resource/Quetzacoatl http://dbpedia.org/resource/Quetzlcoatl http://dbpedia.org/resource/Quexalcote http://dbpedia.org/resource/Quetzal_coatl http://dbpedia.org/resource/Quetzalcóatl http://dbpedia.org/resource/Quetzecoatl http://dbpedia.org/resource/Quetzalcoatl http://dbpedia.org/resource/Quezalcoatl http://dbpedia.org/resource/Quetzalcoat http://dbpedia.org/resource/Quezecotl http://dbpedia.org/resource/Quetzelcoatl http://dbpedia.org/resource/Quetzalcoátl http://dbpedia.org/resource/Quetzequatal http://dbpedia.org/resource/Quetzalcoati http://dbpedia.org/resource/Ketsalkoatl http://dbpedia.org/resource/Quezacotl http://dbpedia.org/resource/White_Tezcatlipoca"
"3","5","Henry Ford, The International Jew, The Dearborn Independent","http://dbpedia.org/resource/The_International_Jew","http://dbpedia.org/resource/Henry_Ford http://dbpedia.org/resource/Henry_Ford_I http://dbpedia.org/resource/Henry_Ford_the_first http://dbpedia.org/resource/Henry_Ford,_Sr. http://dbpedia.org/resource/$5_Day http://dbpedia.org/resource/Five_Dollar_Day http://dbpedia.org/resource/Fordian http://dbpedia.org/resource/Ford_(person) http://dbpedia.org/resource/Henry_ford http://dbpedia.org/resource/Ford,_Henry"
"3","6","John Winthrop; The Massachusetts Bay Company","http://dbpedia.org/resource/John_Humphrey_(Massachusetts)","http://dbpedia.org/resource/John_Winthrop,_the_Elder http://dbpedia.org/resource/John_winthrope http://dbpedia.org/resource/John_Winthrope http://dbpedia.org/resource/John_Winthrop_the_Elder http://dbpedia.org/resource/John_Winthrop http://dbpedia.org/resource/John_Winthorp"
"3","7","Thomas Paine; Common Sense","http://dbpedia.org/resource/Thomas_Reid","http://dbpedia.org/resource/Thomas_Paine http://dbpedia.org/resource/Paine,_Thomas http://dbpedia.org/resource/Tom_Paine http://dbpedia.org/resource/Thomas_Pain http://dbpedia.org/resource/T_Paine http://dbpedia.org/resource/Thomas_paine"
"3","8","Pierre Eugene du Simitiere; E pluribus unum","http://dbpedia.org/resource/E_Pluribus_Unum_(Wilson)","http://dbpedia.org/resource/Pierre_Eugene_DuSimitiere http://dbpedia.org/resource/Pierre_Eugene_Du_Simitiere http://dbpedia.org/resource/Pierre_Eugene_DuSimitiére http://dbpedia.org/resource/Pierre_du_Simitiere http://dbpedia.org/resource/Pierre_Du_Simitiere http://dbpedia.org/resource/Pierre_Eugene_du_Simitiere http://dbpedia.org/resource/Simitiere http://dbpedia.org/resource/Pierre_Du_Simitière http://dbpedia.org/resource/Pierre_DuSimitiere http://dbpedia.org/resource/Pierre_Eugene_du_Simitière"
"3","9","Ralph Waldo Emerson; Self-Reliance","http://dbpedia.org/resource/Ralph_Waldo_Emerson_House","http://dbpedia.org/resource/Ralph_Emerson_(lecturer) http://dbpedia.org/resource/Ralph_Emerson_(philosophy) http://dbpedia.org/resource/Poems_Emerson http://dbpedia.org/resource/Ralph_Emerson_(poet) http://dbpedia.org/resource/R.W._Emerson http://dbpedia.org/resource/Ralph_Emerson_(writer) http://dbpedia.org/resource/Ralph_W_Emerson http://dbpedia.org/resource/R._W._Emerson http://dbpedia.org/resource/Emerson,_Ralph_Waldo http://dbpedia.org/resource/Ralph_W._Emerson http://dbpedia.org/resource/Waldo_Emerson http://dbpedia.org/resource/Ralph_Emerson_(philosopher) http://dbpedia.org/resource/Ralph_Emerson_(Transcendalist) http://dbpedia.org/resource/Ralph_Emerson http://dbpedia.org/resource/Waldo_emerson http://dbpedia.org/resource/Ralph_Emerson_(author) http://dbpedia.org/resource/Emerson,_Ralph http://dbpedia.org/resource/Ralph_Waldo_Emerson http://dbpedia.org/resource/Ralph_Emerson_(essayist) http://dbpedia.org/resource/Poems_(Emerson) http://dbpedia.org/resource/Emersonian"
"3","10","John L. O'Sullivan; Manifest destiny","http://dbpedia.org/resource/John_O'Sullivan_(engineer)","http://dbpedia.org/resource/John_L._O'Sullivan"
"3","11","Henry George; Progress and Poverty","http://dbpedia.org/resource/Progress_and_Poverty","http://dbpedia.org/resource/Henry_George http://dbpedia.org/resource/H._George http://dbpedia.org/resource/Harry_George http://dbpedia.org/resource/George,_Henry http://dbpedia.org/resource/Henry_george"
"3","12","Jane Addams; Hull House","http://dbpedia.org/resource/Hull_House","http://dbpedia.org/resource/Jane_Addams_Day http://dbpedia.org/resource/Jane_addams http://dbpedia.org/resource/Addams,_Jane http://dbpedia.org/resource/Jane_Addams"
"3","13","Israel Zangwill; The Melting Pot","http://dbpedia.org/resource/The_Melting_Pot_(play)","http://dbpedia.org/resource/Israel_Zangwill http://dbpedia.org/resource/I._Zangwill http://dbpedia.org/resource/Zangwill http://dbpedia.org/resource/J._Freeman_Bell http://dbpedia.org/resource/I_Zangwill"
"3","14","Carter G. Woodson; Association for the Study of African American Life and History","http://dbpedia.org/resource/Association_for_the_Study_of_African_American_Life_and_History","http://dbpedia.org/resource/Dr._Carter_G._Woodson http://dbpedia.org/resource/Carter_G._Woodson http://dbpedia.org/resource/Carter_Woodson http://dbpedia.org/resource/Carter_g._woodson http://dbpedia.org/resource/Carter_G_Woodson http://dbpedia.org/resource/Carter_Goodwin_Woodson http://dbpedia.org/resource/Carter_Godwin_Woodson"
"3","15","George Marshall; The Marshall Plan","http://dbpedia.org/resource/Marshall_Plan","http://dbpedia.org/resource/General_Marshall http://dbpedia.org/resource/George_c_marshall http://dbpedia.org/resource/George_Marshall_Jr. http://dbpedia.org/resource/George_Catlett_Marshall,_Jr. http://dbpedia.org/resource/George_C._Marshall,_Jr. http://dbpedia.org/resource/George_Catlett_Marshall_Jr. http://dbpedia.org/resource/General_George_C._Marshall http://dbpedia.org/resource/George_Catlett_Marshall http://dbpedia.org/resource/George_C._Marshall http://dbpedia.org/resource/Marshall,_George http://dbpedia.org/resource/George_Marshall,_Jr. http://dbpedia.org/resource/George_Marshall"
