"F1: 0.00000","Precision: 0.00000","Recall: 0.00000"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","1","Spain","http://dbpedia.org/resource/Spain","http://dbpedia.org/resource/Spain_national_roller_hockey_(quad)_team http://dbpedia.org/resource/Spain_national_rink_hockey_team http://dbpedia.org/resource/Spain_national_roller_hockey_team"
"1","2","Portugal","http://dbpedia.org/resource/Portugal","http://dbpedia.org/resource/Portugal_national_roller_hockey_team http://dbpedia.org/resource/Portugal_national_roller_hockey_(quad)_team http://dbpedia.org/resource/Portugal_national_rink_hockey_team"
"1","3","Italy","http://dbpedia.org/resource/Italy","http://dbpedia.org/resource/Italy_men's_national_roller_hockey_team"
"1","4","Argentina","http://dbpedia.org/resource/Argentina","http://dbpedia.org/resource/Argentina_national_roller_hockey_team"
"1","5","Germany","http://dbpedia.org/resource/Germany","http://dbpedia.org/resource/Germany_national_roller_hockey_team"
"1","6","France","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France_national_roller_hockey_team"
"1","7","Chile","http://dbpedia.org/resource/Chile","http://dbpedia.org/resource/Chile_national_roller_hockey_team"
"1","8","Switzerland","http://dbpedia.org/resource/Switzerland","http://dbpedia.org/resource/Switzerland_national_roller_hockey_team"
"1","9","Angola","http://dbpedia.org/resource/Angola","http://dbpedia.org/resource/Angola_national_roller_hockey_team"
"1","10","Colombia","http://dbpedia.org/resource/Colombia","http://dbpedia.org/resource/Colombia_national_roller_hockey_team"
"1","11","England","http://dbpedia.org/resource/England","http://dbpedia.org/resource/England_national_roller_hockey_team http://dbpedia.org/resource/England_national_rink_hockey_team"
"1","12","South Africa","http://dbpedia.org/resource/South_Africa","http://dbpedia.org/resource/South_Africa_national_roller_hockey_team"
"1","13","Austria","http://dbpedia.org/resource/Austria","http://dbpedia.org/resource/Austria_national_roller_hockey_team"
"1","14","United States","http://dbpedia.org/resource/United_States_Marine_Corps","http://dbpedia.org/resource/United_States_national_roller_hockey_team"
"1","15","India","http://dbpedia.org/resource/India","http://dbpedia.org/resource/India_men's_national_roller_hockey_team http://dbpedia.org/resource/India_national_roller_hockey_team"
