"F1: 0.70588","Precision: 0.70588","Recall: 0.70588"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","4","Kingston","http://dbpedia.org/resource/Kingston,_Jamaica","http://dbpedia.org/resource/Kingston,_RI http://dbpedia.org/resource/Kingston_(RI) http://dbpedia.org/resource/Kingston,_Rhode_Island http://dbpedia.org/resource/Kingston_Village_Historic_District_(Kingston,_Rhode_Island)"
"1","6","Lewiston","http://dbpedia.org/resource/Missouri","http://dbpedia.org/resource/Lewiston,_Maine http://dbpedia.org/resource/History_of_Lewiston,_Maine http://dbpedia.org/resource/UN/LOCODE:USQLW http://dbpedia.org/resource/Lewiston_maine http://dbpedia.org/resource/Lewiston_Evening_Journal http://dbpedia.org/resource/Lewiston_(ME) http://dbpedia.org/resource/Lewiston_(Maine) http://dbpedia.org/resource/Lewiston,_ME http://dbpedia.org/resource/Lewiston,_Me."
"1","7","Newark","http://dbpedia.org/resource/Newark,_New_Jersey","http://dbpedia.org/resource/History_of_Newark,_Delaware http://dbpedia.org/resource/Newark,_DE http://dbpedia.org/resource/Newark,_Delaware http://dbpedia.org/resource/South_Newark,_Delaware http://dbpedia.org/resource/Newark_de http://dbpedia.org/resource/UN/LOCODE:USNWK http://dbpedia.org/resource/Newark_(DE)"
"1","8","California","http://dbpedia.org/resource/San_Jose,_California","http://dbpedia.org/resource/California_(PA) http://dbpedia.org/resource/California,_PA http://dbpedia.org/resource/California,_Washington_County,_Pennsylvania http://dbpedia.org/resource/California,_Pennsylvania http://dbpedia.org/resource/California_PA"
"1","9","Ithaca","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/Ithaca,_ny http://dbpedia.org/resource/Itown http://dbpedia.org/resource/Ithacation http://dbpedia.org/resource/Ithaca_(city),_New_York http://dbpedia.org/resource/UN/LOCODE:USITH http://dbpedia.org/resource/Ithaca-Cortland,_NY_Combined_Statistical_Area http://dbpedia.org/resource/Ithaca-Cortland,_NY_CSA http://dbpedia.org/resource/Ithaca,_N.Y. http://dbpedia.org/resource/Ithaca_(city,_New_York) http://dbpedia.org/resource/Ithaca,_City_of_Evil http://dbpedia.org/resource/History_of_Ithaca,_New_York http://dbpedia.org/resource/Ithaca,_NY_Metropolitan_Statistical_Area http://dbpedia.org/resource/Ithaca,_NY http://dbpedia.org/resource/New_York_Ithaca http://dbpedia.org/resource/Ithaca,_New_York http://dbpedia.org/resource/Ithaca,_New_York_metropolitan_area http://dbpedia.org/resource/Ithaca_(NY) http://dbpedia.org/resource/Cayuga_Radio_Group http://dbpedia.org/resource/Ithaca_(city),_Tompkins_County,_New_York"
"1","11","Bethlehem","http://dbpedia.org/resource/Belém","http://dbpedia.org/resource/UN/LOCODE:USBEX http://dbpedia.org/resource/Bethlehem_(PA) http://dbpedia.org/resource/Bethlehem,_PA http://dbpedia.org/resource/Bethlehem,_Pa http://dbpedia.org/resource/West_Bethlehem,_Pennsylvania http://dbpedia.org/resource/Bethlehem,_Pennsylvania http://dbpedia.org/resource/PA_Bethlehem http://dbpedia.org/resource/History_of_Bethlehem,_Pennsylvania"
"1","14","Bowling Green","http://dbpedia.org/resource/Wiesbaden","http://dbpedia.org/resource/Bowlinggreen,_ohio http://dbpedia.org/resource/BG,_OH http://dbpedia.org/resource/Bowling_green,_oh http://dbpedia.org/resource/History_of_Bowling_Green,_Ohio http://dbpedia.org/resource/Bowlinggreen,_oh http://dbpedia.org/resource/Bowling_Green,_OH http://dbpedia.org/resource/BG_Ohio http://dbpedia.org/resource/UN/LOCODE:USBWO http://dbpedia.org/resource/Bowling_Green,_Ohio http://dbpedia.org/resource/Bowling_Green,_Oh"
"1","16","Springfield","http://dbpedia.org/resource/Springfield,_Illinois","http://dbpedia.org/resource/Springfield_(Missouri) http://dbpedia.org/resource/Springfield_(Missouri,_United_States) http://dbpedia.org/resource/Springfield_missouri http://dbpedia.org/resource/Pershing_middle_school_Mo http://dbpedia.org/resource/UN/LOCODE:USSGF http://dbpedia.org/resource/The_Summit_Preparatory_School http://dbpedia.org/resource/Pershing_Middle_School_(Springfield) http://dbpedia.org/resource/Springfield,_Missouri http://dbpedia.org/resource/Springfield,_MO http://dbpedia.org/resource/Springfield,_Mo. http://dbpedia.org/resource/Springfield_Mo http://dbpedia.org/resource/History_of_Springfield,_Missouri"
"1","17","Champaign","http://dbpedia.org/resource/Urbana,_Illinois","http://dbpedia.org/resource/Champagne,_Illinois http://dbpedia.org/resource/Champaign,_Illinois_metropolitan_area http://dbpedia.org/resource/Champaign_City http://dbpedia.org/resource/History_of_Champaign,_Illinois http://dbpedia.org/resource/Champaign,_Il http://dbpedia.org/resource/Champaign_il http://dbpedia.org/resource/Champaign http://dbpedia.org/resource/UN/LOCODE:USCMI http://dbpedia.org/resource/Champaign,_Illinois http://dbpedia.org/resource/Champaign_(IL) http://dbpedia.org/resource/Champaign,_Ill. http://dbpedia.org/resource/Champaign,_IL http://dbpedia.org/resource/List_of_mayors_and_city_managers_of_Champaign,_Illinois http://dbpedia.org/resource/Champaign-Urbana,_IL_Metropolitan_Statistical_Area"
"1","18","Murray","http://dbpedia.org/resource/Murray,_Utah","http://dbpedia.org/resource/Murray,_Kentucky http://dbpedia.org/resource/Pleasant_Springs,_Kentucky http://dbpedia.org/resource/Pooltown,_Kentucky http://dbpedia.org/resource/Murray_Central_Park http://dbpedia.org/resource/History_of_Murray,_Kentucky http://dbpedia.org/resource/Murray,_KY http://dbpedia.org/resource/UN/LOCODE:USCEY http://dbpedia.org/resource/Williston,_Kentucky"
