"F1: 0.65517","Precision: 0.65517","Recall: 0.65517"
"Col","Row","Value","Submitted URI","Correct URI's"
"1","2","Tren de la Costa","http://dbpedia.org/resource/Ciudad_de_la_Costa","http://dbpedia.org/resource/Tren_de_la_Costa_S.A. http://dbpedia.org/resource/Tren_de_la_costa http://dbpedia.org/resource/Tren_de_la_Costa"
"1","3","Sydney Trains","http://dbpedia.org/resource/CityRail","http://dbpedia.org/resource/Sydney_trains http://dbpedia.org/resource/Sydney_Trains"
"1","4","Melbourne Suburban Railways","http://dbpedia.org/resource/Main_Suburban_railway_line","http://dbpedia.org/resource/Railways_in_Melbourne http://dbpedia.org/resource/Melbourne_railways http://dbpedia.org/resource/Trains_in_Melbourne http://dbpedia.org/resource/PRIDE,_Melbourne_rail_network http://dbpedia.org/resource/PRIDE,_Melbourne_Rail_Network http://dbpedia.org/resource/Melbourne_train_network http://dbpedia.org/resource/Melbourne_rail_network"
"1","10","Copenhagen S-train","http://dbpedia.org/resource/S-train_(Copenhagen)","http://dbpedia.org/resource/S-train http://dbpedia.org/resource/S-Bahn http://dbpedia.org/resource/S-Trains http://dbpedia.org/resource/S-bahn http://dbpedia.org/resource/Sbahn http://dbpedia.org/resource/S_Bahn http://dbpedia.org/resource/S-trains http://dbpedia.org/resource/S-Train"
"1","16","Mumbai Suburban Railway","http://dbpedia.org/resource/Main_Suburban_railway_line","http://dbpedia.org/resource/Mumbai_suburban_railway http://dbpedia.org/resource/Mumbai_light_rail http://dbpedia.org/resource/Mumbai_locals_train http://dbpedia.org/resource/Mumbai_suburban_rail http://dbpedia.org/resource/Bombay_Suburban_Railway http://dbpedia.org/resource/Mumbai_local_train http://dbpedia.org/resource/Railway_stations_in_Mumbai http://dbpedia.org/resource/Mumbai_Railway http://dbpedia.org/resource/List_of_Bombay_stations http://dbpedia.org/resource/Mumbai_Suburban_Railway http://dbpedia.org/resource/मुंबई_उपनगरीय_रेल् http://dbpedia.org/resource/List_of_mumbai_stations"
"1","17","KRL Jabotabek","http://dbpedia.org/resource/KRL_Commuterline","http://dbpedia.org/resource/KRL_Jabotabek http://dbpedia.org/resource/PT_KAI_Commuter_Jabodetabek http://dbpedia.org/resource/KRL_Jabodetabek http://dbpedia.org/resource/KA_Commuter_Jabodetabek"
"1","20","Japan Railways (JR) lines","http://dbpedia.org/resource/East_Japan_Railway_Company","http://dbpedia.org/resource/Je_Aru http://dbpedia.org/resource/Jē_Āru http://dbpedia.org/resource/Jeiāru_Gurūpu http://dbpedia.org/resource/Japan_Railways_Group http://dbpedia.org/resource/JR_Line http://dbpedia.org/resource/Japan_Railway http://dbpedia.org/resource/Japan_Railways http://dbpedia.org/resource/Japan_Rail http://dbpedia.org/resource/Jr_line http://dbpedia.org/resource/JR_Group http://dbpedia.org/resource/JRグループ http://dbpedia.org/resource/Japan_railway"
"1","25","Wellington Suburban","http://dbpedia.org/resource/Mount_Wellington_(Tasmania)","http://dbpedia.org/resource/Tranz_Metro http://dbpedia.org/resource/Tranzmetro"
"1","30","Daegu Subway","http://dbpedia.org/resource/Subway_(restaurant)","http://dbpedia.org/resource/Daegu_Metro http://dbpedia.org/resource/Daegu_Metropolitan_Subway http://dbpedia.org/resource/Taegu_Subway http://dbpedia.org/resource/Daegu_Subway"
"1","32","Daejeon Subway","http://dbpedia.org/resource/Subway_(restaurant)","http://dbpedia.org/resource/Daejeon_Metro http://dbpedia.org/resource/Daejeon_Metropolitan_Subway http://dbpedia.org/resource/Daejeon_Subway"
