F1: 0.65517,Precision: 0.65517,Recall: 0.65517,,
Col,Row,Value,Submitted URI,Correct URI's
0,6,Adelaide Entertainment Centre,http://dbpedia.org/resource/Brisbane_Entertainment_Centre,http://dbpedia.org/resource/Adelaide_Entertainment_Center http://dbpedia.org/resource/Adelaide_Entertainment_Centre
0,7,Melbourne Multi Purpose Venue,http://dbpedia.org/resource/Melbourne_Arena,http://dbpedia.org/resource/Melbourne_Multi-Purpose_Venue http://dbpedia.org/resource/Melbourne_Multi_Purpose_Venue http://dbpedia.org/resource/Melbourne_Park_Multi-Purpose_Venue http://dbpedia.org/resource/Hisense_Arena http://dbpedia.org/resource/Melbourne_Park_Multi_Purpose_Venue http://dbpedia.org/resource/Vodafone_Arena_(Melbourne) http://dbpedia.org/resource/Hisense_Arena_(Melbourne)
0,11,WIN Entertainment Centre,http://dbpedia.org/resource/Sydney_Entertainment_Centre,http://dbpedia.org/resource/Wollongong_Entertainment_Centre http://dbpedia.org/resource/WIN_Entertainment_Centre
0,19,HBF Stadium,http://dbpedia.org/resource/Juventus_Stadium,http://dbpedia.org/resource/Challenge_Stadium http://dbpedia.org/resource/HBF_Stadium http://dbpedia.org/resource/Claremont_Superdrome
0,22,Netball SA Stadium,http://dbpedia.org/resource/Memorial_Stadium_(Baltimore),http://dbpedia.org/resource/Priceline_Stadium http://dbpedia.org/resource/ETSA_Park http://dbpedia.org/resource/Netball_SA_Stadium
0,23,State Basketball Centre,http://dbpedia.org/resource/State_Sports_Centre,http://dbpedia.org/resource/State_Basketball_Centre
0,26,Central Queensland University,http://dbpedia.org/resource/Queensland,http://dbpedia.org/resource/Central_Queensland_University http://dbpedia.org/resource/UCQ http://dbpedia.org/resource/University_of_Central_Queensland http://dbpedia.org/resource/CQ_University http://dbpedia.org/resource/CQU http://dbpedia.org/resource/University_College_of_Central_Queensland http://dbpedia.org/resource/Queensland_Institute_of_Technology_(Capricornia) http://dbpedia.org/resource/Central_Queensland_University_Press http://dbpedia.org/resource/CQUniversity
0,27,Bendigo Stadium,http://dbpedia.org/resource/Rushton_Park,http://dbpedia.org/resource/Bendigo_Basketball_Stadium http://dbpedia.org/resource/Bendigo_Stadium http://dbpedia.org/resource/Schweppes_Centre
0,29,Bendat Basketball Centre,http://dbpedia.org/resource/Dongfeng_Nissan_Cultural_and_Sports_Centre,http://dbpedia.org/resource/WA_Basketball_Centre http://dbpedia.org/resource/Bendat_Basketball_Centre http://dbpedia.org/resource/Western_Australian_Basketball_Centre
0,30,University of Sydney,http://dbpedia.org/resource/Sydney_Law_School,http://dbpedia.org/resource/The_University_of_Sydney http://dbpedia.org/resource/SydneyUni http://dbpedia.org/resource/USyd http://dbpedia.org/resource/Sydney_Uni http://dbpedia.org/resource/U_of_sydney http://dbpedia.org/resource/University_of_sydney http://dbpedia.org/resource/USYD http://dbpedia.org/resource/The_university_of_sydney http://dbpedia.org/resource/Sydney_Faculty_of_Science http://dbpedia.org/resource/Sydney_University http://dbpedia.org/resource/University_of_Sydney http://dbpedia.org/resource/Sydney_School_of_Geosciences http://dbpedia.org/resource/Usyd http://dbpedia.org/resource/U_of_syd http://dbpedia.org/resource/Sydney_university http://dbpedia.org/resource/Sydney_uni http://dbpedia.org/resource/University_of_Sidney
