F1: 0.54545,Precision: 0.54545,Recall: 0.54545,,
Col,Row,Value,Submitted URI,Correct URI's
1,4,MFK KoÅ¡ice,http://dbpedia.org/resource/FK_Dubnica,http://dbpedia.org/resource/MFK_Košice
1,6,MFK PetrÅ¾alka,http://dbpedia.org/resource/FC_Petržalka,http://dbpedia.org/resource/MFK_Petržalka
1,9,AS TrenÄ\u008DÃ­n,http://dbpedia.org/resource/Freienfeld,http://dbpedia.org/resource/FK_AS_Trenčín
1,11,MFK Dubnica,http://dbpedia.org/resource/FK_Dubnica,http://dbpedia.org/resource/ZTS_Dubnica http://dbpedia.org/resource/FK_ZŤS_Dubnica http://dbpedia.org/resource/ZTS_Kerametal_Dubnica http://dbpedia.org/resource/MFK_Dubnica_B http://dbpedia.org/resource/MFK_Dubnica http://dbpedia.org/resource/Spartak_Dubnica http://dbpedia.org/resource/FK_ZTS_Dubnica http://dbpedia.org/resource/Kerametal_Dubnica
1,13,DAC DunajskÃ¡ Streda,http://dbpedia.org/resource/FC_DAC_1904_Dunajská_Streda,http://dbpedia.org/resource/FK_DAC_1904_Dunajská_Streda
1,14,Matador PÃºchov,http://dbpedia.org/resource/MŠK_Púchov,http://dbpedia.org/resource/FK_Matador_Púchov
1,15,HFC HumennÃ©,http://dbpedia.org/resource/ŠK_Futura_Humenné,http://dbpedia.org/resource/1._HFC_Humenné
1,17,BanÃ­k Prievidza,http://de.dbpedia.org/resource/FK_Mesto_Prievidza,http://dbpedia.org/resource/Baník_Prievidza
1,19,LokomotÃ­va KoÅ¡ice,http://dbpedia.org/resource/FC_Lokomotíva_Košice,http://dbpedia.org/resource/Lokomotíva_Košice
1,21,FC RimavskÃ¡ Sobota,http://dbpedia.org/resource/MŠK_Rimavská_Sobota,http://dbpedia.org/resource/FC_Rimavská_Sobota
