F1: 0.60714,Precision: 0.60714,Recall: 0.60714,,
Col,Row,Value,Submitted URI,Correct URI's
1,2,Rapid,http://dbpedia.org/resource/SK_Rapid_Wien,http://dbpedia.org/resource/Rapid_FC http://dbpedia.org/resource/Rapid_SC http://dbpedia.org/resource/Southern_FC http://dbpedia.org/resource/Rapid_FC_(Tas)
1,7,Olympia,http://dbpedia.org/resource/Olympia_Club_de_Bruxelles,http://dbpedia.org/resource/Olympia_FC http://dbpedia.org/resource/Hobart_Olympia_Warriors http://dbpedia.org/resource/Olympia_F.C. http://dbpedia.org/resource/Hobart_Olympic
1,8,Olympia,http://dbpedia.org/resource/Olympia_Club_de_Bruxelles,http://dbpedia.org/resource/Olympia_FC http://dbpedia.org/resource/Hobart_Olympia_Warriors http://dbpedia.org/resource/Olympia_F.C. http://dbpedia.org/resource/Hobart_Olympic
1,11,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,12,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,13,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,14,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,15,Phoenix,http://dbpedia.org/resource/Phoenix_FC,http://dbpedia.org/resource/Clarence_United_FC http://dbpedia.org/resource/Clarence_United
1,16,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,21,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
1,23,University,http://dbpedia.org/resource/Cambridge_University_Cricket_Club,http://dbpedia.org/resource/University_of_Tasmania_SC
