F1: 0.70000,Precision: 0.70000,Recall: 0.70000,,
Col,Row,Value,Submitted URI,Correct URI's
1,3,Avalon,http://dbpedia.org/resource/Avalon_High_(film),http://dbpedia.org/resource/Avalon_(1990_film)
1,6,Hamlet,http://fr.dbpedia.org/resource/Hamlet_(album_de_Johnny_Hallyday),http://dbpedia.org/resource/Hamlet_(1990_film) http://dbpedia.org/resource/Hamlet_(1990) http://dbpedia.org/resource/Hamlet_(1990_movie)
1,9,The Addams Family,http://dbpedia.org/resource/The_Addams_Family_(1991_film),http://dbpedia.org/resource/The_Addams_Family_(film) http://dbpedia.org/resource/The_Addams_family(film) http://dbpedia.org/resource/The_addams_family_(film) http://dbpedia.org/resource/The_Addams_Family_(movie)
1,15,Enchanted April,http://dbpedia.org/resource/Enchanted_April_(1991_film),http://dbpedia.org/resource/Enchanted_April_(1992_film)
1,18,Toys,http://dbpedia.org/resource/Toy_Story,http://dbpedia.org/resource/Toys_(1992_film) http://dbpedia.org/resource/Toys_(movie) http://dbpedia.org/resource/Toys_(film)
1,21,Orlando,http://dbpedia.org/resource/Orlando_furioso_(Vivaldi),http://dbpedia.org/resource/Orlando_(movie) http://dbpedia.org/resource/Orlando_(film)
1,28,Little Women,http://dbpedia.org/resource/Little_Women_(1933_film),http://dbpedia.org/resource/Little_Women_(1994_film) http://dbpedia.org/resource/Little_Women_(1994) http://dbpedia.org/resource/Little_Women_(1994_movie)
1,32,Restoration,http://dbpedia.org/resource/The_Restoration_(1910_film),http://dbpedia.org/resource/Restoration_(1995_film)
1,34,Richard III,http://dbpedia.org/resource/Richard_III_(2007_film),http://dbpedia.org/resource/Ian_McKellen's_Richard_III http://dbpedia.org/resource/Richard_III_(1995_movie) http://dbpedia.org/resource/Richard_III_(1995_film)
1,40,Emma,http://dbpedia.org/resource/Emma_(novel),http://dbpedia.org/resource/Emma_(1996_theatrical_film)
1,41,Hamlet,http://fr.dbpedia.org/resource/Hamlet_(album_de_Johnny_Hallyday),http://dbpedia.org/resource/Hamlet_(1996) http://dbpedia.org/resource/Hamlet_(1996_film) http://dbpedia.org/resource/Hamlet_(1996_movie) http://dbpedia.org/resource/Hamlet_(Kenneth_Branagh)
1,51,Beloved,http://dbpedia.org/resource/Beloved_(1998_film),http://dbpedia.org/resource/Beloved_(movie) http://dbpedia.org/resource/Beloved_(film)
1,52,Elizabeth,http://dbpedia.org/resource/Elizabeth_Taylor,http://dbpedia.org/resource/Elizabeth_(film) http://dbpedia.org/resource/Elizabeth_(movie) http://dbpedia.org/resource/Elizabeth_(1998_film) http://dbpedia.org/resource/Elizabeth_(1998_movie)
1,56,Topsy-Turvy,http://dbpedia.org/resource/The_Hunchback_of_Notre_Dame_(1996_film),http://dbpedia.org/resource/Topsy-Turvy http://dbpedia.org/resource/Topsy_Turvy
1,60,Titus,http://dbpedia.org/resource/La_clemenza_di_Tito,http://dbpedia.org/resource/Titus_(film) http://dbpedia.org/resource/Titus_(film http://dbpedia.org/resource/Titus_(1999_film) http://dbpedia.org/resource/Titus_(movie)
