F1: 0.52941,Precision: 0.52941,Recall: 0.52941,,
Col,Row,Value,Submitted URI,Correct URI's
0,2,Maurontus,http://dbpedia.org/resource/Maurontius_of_Douai,http://dbpedia.org/resource/Maurontus http://dbpedia.org/resource/Maurontus_of_Provence http://dbpedia.org/resource/Maurontius
0,4,Amalburga,,http://dbpedia.org/resource/Saint_Amelberga http://dbpedia.org/resource/Amelburga http://dbpedia.org/resource/Amelberga http://dbpedia.org/resource/Amalberga http://dbpedia.org/resource/Amalburga http://dbpedia.org/resource/Saint_Amalberga
0,5,Urbitius (Urbez),http://ru.dbpedia.org/resource/Урбикий_Мецский,http://dbpedia.org/resource/Saint_Urbicius http://dbpedia.org/resource/Urbiz http://dbpedia.org/resource/Urbitius http://dbpedia.org/resource/Urbice http://dbpedia.org/resource/Urbez http://dbpedia.org/resource/Urbicius
0,11,John of Constantinople,http://dbpedia.org/resource/John_of_Brienne,http://dbpedia.org/resource/John_of_Cathares http://dbpedia.org/resource/John_of_Constantinople
0,12,John,"http://dbpedia.org/resource/John,_King_of_England",http://dbpedia.org/resource/John_of_Pavia
0,22,Anne (Euphemianus),http://dbpedia.org/resource/Saint_Anne,http://dbpedia.org/resource/Anne http://dbpedia.org/resource/Ann_(name) http://dbpedia.org/resource/Anne_(name)
0,27,Adolphus and John,"http://dbpedia.org/resource/John_Adolf,_Duke_of_Holstein-Gottorp",http://dbpedia.org/resource/Benildis http://dbpedia.org/resource/Martyrs_of_Córdoba http://dbpedia.org/resource/Isaac_of_Cordoba http://dbpedia.org/resource/Gumesindus http://dbpedia.org/resource/Emilas http://dbpedia.org/resource/Argimirius http://dbpedia.org/resource/Adolphus_and_John http://dbpedia.org/resource/Rogellus http://dbpedia.org/resource/Martyrs_of_cordoba http://dbpedia.org/resource/Saint_Paul_of_St._Zoilus http://dbpedia.org/resource/Fandila http://dbpedia.org/resource/Abundius_of_Cordoba http://dbpedia.org/resource/Martyrs_of_Cordoba http://dbpedia.org/resource/Paul_of_St._Zoilus http://dbpedia.org/resource/Sanctius http://dbpedia.org/resource/Leocritia
0,28,"Aengus (Dengus, \the Culdee\"")""",http://dbpedia.org/resource/Aonghus_Óg_of_Islay,http://dbpedia.org/resource/Aengus_Og http://dbpedia.org/resource/Mac-og http://dbpedia.org/resource/Macc_Óc http://dbpedia.org/resource/Óengus http://dbpedia.org/resource/Oengus_Oc http://dbpedia.org/resource/Oenghus http://dbpedia.org/resource/Aislinge_Óenguso http://dbpedia.org/resource/Angus_Mac_Og http://dbpedia.org/resource/Aenghus http://dbpedia.org/resource/Oengus http://dbpedia.org/resource/Aengus_the_Young http://dbpedia.org/resource/Aengus_Óg http://dbpedia.org/resource/Mac_Oc http://dbpedia.org/resource/Mac_Óc http://dbpedia.org/resource/Macc_Oc http://dbpedia.org/resource/Aonghus http://dbpedia.org/resource/Aengus_mac_Oc http://dbpedia.org/resource/Aengus http://dbpedia.org/resource/Oengus_Mac_Oc http://dbpedia.org/resource/Mac-ind-Og http://dbpedia.org/resource/Mac-ind-Óg http://dbpedia.org/resource/Aislinge_Oenguso http://dbpedia.org/resource/Óengus_Óc http://dbpedia.org/resource/Anghus
0,31,George,http://dbpedia.org/resource/George_H._W._Bush,http://dbpedia.org/resource/George_(given_name) http://dbpedia.org/resource/George_(name)
