F1: 0.56164,Precision: 0.56164,Recall: 0.56164,,
Col,Row,Value,Submitted URI,Correct URI's
0,3,Hercules,http://dbpedia.org/resource/Hercules_(2014_film),http://dbpedia.org/resource/Hercules_(1957_film) http://dbpedia.org/resource/Le_fatiche_di_Ercole http://dbpedia.org/resource/Hercules_(1958_film)
0,4,The Challenge (La sfidia),http://dbpedia.org/resource/The_Challenge_(TV_series),http://dbpedia.org/resource/La_sfida http://dbpedia.org/resource/The_Challenge_(1958_film)
0,11,The Law Is the Law,http://dbpedia.org/resource/The_Law_(The_Law_album),"http://dbpedia.org/resource/La_Legge_è_legge http://dbpedia.org/resource/La_loi,_c'est_la_loi http://dbpedia.org/resource/La_legge_è_legge http://dbpedia.org/resource/The_Law_Is_the_Law http://dbpedia.org/resource/La_Legge_è_Legge http://dbpedia.org/resource/La_legge_e_legge http://dbpedia.org/resource/Law_Is_the_Law"
0,15,"Afrodite, dea dell'amore",http://dbpedia.org/resource/Slave_Women_of_Corinth,"http://dbpedia.org/resource/Afrodite,_dea_dell'amore"
0,21,Antigone,http://dbpedia.org/resource/Antigone_(film),http://dbpedia.org/resource/Antigone http://dbpedia.org/resource/Anitgone http://dbpedia.org/resource/Antígona
0,23,Arrivederci Roma,http://dbpedia.org/resource/Seven_Hills_of_Rome_(film),http://dbpedia.org/resource/Arrivederci_Darling http://dbpedia.org/resource/Arrivederci_Roma
0,24,Auferstehung,http://dbpedia.org/resource/Resurrection_(1958_film),http://dbpedia.org/resource/Auferstehung http://dbpedia.org/resource/Auferstehung_(Janus_album)
0,28,Canne al vento,http://dbpedia.org/resource/Feathers_in_the_Wind_(1950_film),http://dbpedia.org/resource/Reeds_in_the_Wind http://dbpedia.org/resource/Canne_al_vento
0,34,Christine,http://dbpedia.org/resource/The_New_Adventures_of_Old_Christine,http://dbpedia.org/resource/Christine_Weiring http://dbpedia.org/resource/Christine_(1958_film)
0,39,CosÃ¬ Ã¨ (se vi pare),http://dbpedia.org/resource/Right_You_Are_(if_you_think_so),http://dbpedia.org/resource/Così_è_(se_vi_pare)
0,53,Giuseppe Verdi,http://it.dbpedia.org/resource/Giuseppe_Verdi_(miniserie_televisiva),http://dbpedia.org/resource/G._Verdi http://dbpedia.org/resource/Giuseppe_Fortunino_Francesco_Verdi http://dbpedia.org/resource/Verdi's http://dbpedia.org/resource/Giuseppe_Verdi http://dbpedia.org/resource/José_Verdi http://dbpedia.org/resource/Giuseppe_verdi http://dbpedia.org/resource/Guisippe_Verdi http://dbpedia.org/resource/Guiseppi_Verdi http://dbpedia.org/resource/Verdi http://dbpedia.org/resource/Giuseppe_Fortuning_Francesco_Verdi http://dbpedia.org/resource/Verdi_Competition http://dbpedia.org/resource/Guiseppe_Verdi http://dbpedia.org/resource/Giusuppe_Verdi http://dbpedia.org/resource/G_Verdi http://dbpedia.org/resource/Guiseppe_verdi http://dbpedia.org/resource/VERDI
