F1: 0.25000,Precision: 0.25000,Recall: 0.25000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Russians,http://de.dbpedia.org/resource/Russländisch,http://dbpedia.org/resource/Russians http://dbpedia.org/resource/Russians_(ethnic_group) http://dbpedia.org/resource/Russian_ethnicity http://dbpedia.org/resource/Russian_(ethnicity) http://dbpedia.org/resource/Russianness http://dbpedia.org/resource/Россияне http://dbpedia.org/resource/Russians_(ethnicity) http://dbpedia.org/resource/Russkije http://dbpedia.org/resource/Russkiye http://dbpedia.org/resource/Russian_people http://dbpedia.org/resource/Russian_People
1,2,Armenians,http://dbpedia.org/resource/Armenian_cuisine,http://dbpedia.org/resource/Armenian_people http://dbpedia.org/resource/People_of_Armenia http://dbpedia.org/resource/Armenian_People http://dbpedia.org/resource/Origins_of_Armenians http://dbpedia.org/resource/Origins_of_armenians http://dbpedia.org/resource/Armenian_peoples http://dbpedia.org/resource/Armeenians http://dbpedia.org/resource/Armenians http://dbpedia.org/resource/Հայեր http://dbpedia.org/resource/Origin_of_the_Armenians http://dbpedia.org/resource/Armenian_ethnogenesis http://dbpedia.org/resource/Հայաստանցինէր http://dbpedia.org/resource/Ermanians http://dbpedia.org/resource/Origins_of_the_Armenians http://dbpedia.org/resource/Armanian_people http://dbpedia.org/resource/Armenian_(people) http://dbpedia.org/resource/Gaij http://dbpedia.org/resource/Ermenians http://dbpedia.org/resource/Armenian_Origins http://dbpedia.org/resource/Origin_of_the_armenians
1,3,Dargins,http://dbpedia.org/resource/Lake_Mamry,http://dbpedia.org/resource/Dargwas http://dbpedia.org/resource/Dargins http://dbpedia.org/resource/Dargwa_people http://dbpedia.org/resource/Darginians http://dbpedia.org/resource/Dargin_people
1,5,Romani people,http://dbpedia.org/resource/Romani_people_in_Austria,http://dbpedia.org/resource/Rom_people http://dbpedia.org/resource/Romani_people_in_Central_and_Eastern_Europe http://dbpedia.org/resource/Rroma_people http://dbpedia.org/resource/Kalé http://dbpedia.org/resource/Szgany http://dbpedia.org/resource/Gypsy_people http://dbpedia.org/resource/Gipsies http://dbpedia.org/resource/Gypsi http://dbpedia.org/resource/Roma_in_Central_and_Eastern_Europe http://dbpedia.org/resource/Romanies http://dbpedia.org/resource/Romany_gypsy http://dbpedia.org/resource/Iberian_Kale http://dbpedia.org/resource/Roma_in_Eastern_Europe http://dbpedia.org/resource/Tzigan http://dbpedia.org/resource/Gypsy http://dbpedia.org/resource/Roma_gypsies http://dbpedia.org/resource/Romani_People http://dbpedia.org/resource/Gypsy_food http://dbpedia.org/resource/Romani_people http://dbpedia.org/resource/Persecution_of_Romani_people http://dbpedia.org/resource/Romani_community http://dbpedia.org/resource/Gypsys http://dbpedia.org/resource/Romani_folk http://dbpedia.org/resource/Romani_people_in_Eastern_Europe http://dbpedia.org/resource/Roma/Gypsy http://dbpedia.org/resource/Roma_(people) http://dbpedia.org/resource/Macedonian_Romani http://dbpedia.org/resource/Roma_People http://dbpedia.org/resource/Rroma http://dbpedia.org/resource/Roma_criminality http://dbpedia.org/resource/Gypsie http://dbpedia.org/resource/Gypsy_(people) http://dbpedia.org/resource/Romanis http://dbpedia.org/resource/Çingene http://dbpedia.org/resource/Rroma_(people) http://dbpedia.org/resource/Gyp_(slang) http://dbpedia.org/resource/Roma_(Romani_subgroup) http://dbpedia.org/resource/Romani_criminality http://dbpedia.org/resource/Romastan http://dbpedia.org/resource/Romani_in_the_Balkans http://dbpedia.org/resource/Rrom http://dbpedia.org/resource/Romani_(people) http://dbpedia.org/resource/Romany_folk http://dbpedia.org/resource/Persecution_of_Romany http://dbpedia.org/resource/Roma_Gipsies http://dbpedia.org/resource/Cingene http://dbpedia.org/resource/Sinti_and_Roma http://dbpedia.org/resource/Gypsy_and_Egypt http://dbpedia.org/resource/Rromani_people http://dbpedia.org/resource/The_Gypsies http://dbpedia.org/resource/Gypsies http://dbpedia.org/resource/Romany_people http://dbpedia.org/resource/Persecution_of_Gypsies http://dbpedia.org/resource/Roma_gypsy http://dbpedia.org/resource/Roma_people_in_the_Balkans http://dbpedia.org/resource/Roma_people_in_Central_and_Eastern_Europe http://dbpedia.org/resource/Romani_social_issues http://dbpedia.org/resource/Gypsey http://dbpedia.org/resource/Zigan http://dbpedia.org/resource/Rom_(people) http://dbpedia.org/resource/Roma_Gypsies http://dbpedia.org/resource/Romane http://dbpedia.org/resource/Roma_(ethnonym) http://dbpedia.org/resource/Calé_(disambiguation) http://dbpedia.org/resource/Tzyhany http://dbpedia.org/resource/Gypsy_origin
1,7,Nogais,http://dbpedia.org/resource/Nogai_language,http://dbpedia.org/resource/Nogai_People http://dbpedia.org/resource/Nogai_(people) http://dbpedia.org/resource/Nogais http://dbpedia.org/resource/Nogays http://dbpedia.org/resource/Nogai_people http://dbpedia.org/resource/Noghais http://dbpedia.org/resource/Noghai http://dbpedia.org/resource/Caucasian_Mongols http://dbpedia.org/resource/Nogay_people
1,8,Karachay,http://dbpedia.org/resource/Karachay-Balkar_language,http://dbpedia.org/resource/Karachais http://dbpedia.org/resource/Karacay http://dbpedia.org/resource/Karachay_people http://dbpedia.org/resource/Karachay http://dbpedia.org/resource/Karachai http://dbpedia.org/resource/Karachays
1,9,Azerbaijanis,"http://dbpedia.org/resource/Ganja,_Azerbaijan",http://dbpedia.org/resource/Azerbaijanians http://dbpedia.org/resource/People_of_Azerbaijan http://dbpedia.org/resource/Azeri http://dbpedia.org/resource/Azerbaijani_Turks http://dbpedia.org/resource/Azerbaijani_(people) http://dbpedia.org/resource/Azerbaijanian_Turks http://dbpedia.org/resource/Azeris http://dbpedia.org/resource/Azeri_Turk http://dbpedia.org/resource/Azerbaijanian http://dbpedia.org/resource/Azerbaijani_People http://dbpedia.org/resource/Azerbaijani_Tatars http://dbpedia.org/resource/Azeri_Turks http://dbpedia.org/resource/Azerbaijan_people http://dbpedia.org/resource/Azerbaijanis http://dbpedia.org/resource/Azerbaijani_Turk http://dbpedia.org/resource/Azərbaycanlılar http://dbpedia.org/resource/Azerbaijani_people http://dbpedia.org/resource/Ethnic_Azeris http://dbpedia.org/resource/Azeri_people http://dbpedia.org/resource/Azeribajani_people http://dbpedia.org/resource/Azerbaijaninas http://dbpedia.org/resource/Aderbeijan_Tatars http://dbpedia.org/resource/Aderbeijani_Tatars
1,10,Turkmens,http://dbpedia.org/resource/Oghuz_Turks,http://dbpedia.org/resource/Toorkmens http://dbpedia.org/resource/History_of_a_Turkmen_nation http://dbpedia.org/resource/Turkmen_people http://dbpedia.org/resource/Туркмен http://dbpedia.org/resource/Turkomans http://dbpedia.org/resource/Turkmenistanis http://dbpedia.org/resource/Turkomen http://dbpedia.org/resource/Turkhmens http://dbpedia.org/resource/Turcomans http://dbpedia.org/resource/People_of_Turkmenistan http://dbpedia.org/resource/Trukhmens http://dbpedia.org/resource/Salor http://dbpedia.org/resource/Turkman_people http://dbpedia.org/resource/Turkmeni http://dbpedia.org/resource/Turkmens http://dbpedia.org/resource/Turkomen_people
1,12,Tatars,,http://dbpedia.org/resource/Tartars http://dbpedia.org/resource/Tatars http://dbpedia.org/resource/Tatarian http://dbpedia.org/resource/Tatar_(people) http://dbpedia.org/resource/Tatars_(east_Asians) http://dbpedia.org/resource/Baraba http://dbpedia.org/resource/Tartar_people http://dbpedia.org/resource/Tatar_peoples http://dbpedia.org/resource/Tatar_(word) http://dbpedia.org/resource/Tatar_Turks http://dbpedia.org/resource/Tatar http://dbpedia.org/resource/Astrakan_Tatars http://dbpedia.org/resource/Tartaric http://dbpedia.org/resource/Tatar_nationality http://dbpedia.org/resource/Tatar_people http://dbpedia.org/resource/Татарлар
