F1: 0.25000,Precision: 0.25000,Recall: 0.25000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,The Wedding Banquet å\u0096\u009Cå®´,,http://dbpedia.org/resource/Gao_Wai-tung http://dbpedia.org/resource/Wei_Wei_Gu http://dbpedia.org/resource/Gù_Wēiwēi http://dbpedia.org/resource/Gao_Wai_Tung http://dbpedia.org/resource/Ku_Weiwei http://dbpedia.org/resource/Kao_Weit'ung http://dbpedia.org/resource/Gao_Waitung http://dbpedia.org/resource/Kao_Weitung http://dbpedia.org/resource/Ku_Wei-wei http://dbpedia.org/resource/Gu_Wei-Wei http://dbpedia.org/resource/Waitung_Gao http://dbpedia.org/resource/Gao_Wai-Tung http://dbpedia.org/resource/Wai-tung_Gao http://dbpedia.org/resource/Gāo_Wěitóng http://dbpedia.org/resource/Xi_yan http://dbpedia.org/resource/Wei-Wei_Gu http://dbpedia.org/resource/Wei-wei_Gu http://dbpedia.org/resource/Si_yan http://dbpedia.org/resource/Kao_Wei-tung http://dbpedia.org/resource/Gao_Weitong http://dbpedia.org/resource/Weiwei_Gu http://dbpedia.org/resource/Gu_Wei_Wei http://dbpedia.org/resource/Wai-Tung_Gao http://dbpedia.org/resource/喜宴 http://dbpedia.org/resource/Gu_Wei-wei http://dbpedia.org/resource/The_Wedding_Banquet http://dbpedia.org/resource/Xiyan http://dbpedia.org/resource/Wai_Tung_Gao http://dbpedia.org/resource/Hsi_Yen http://dbpedia.org/resource/Kao_Wei-t'ung http://dbpedia.org/resource/Hsi_yen http://dbpedia.org/resource/Gu_Weiwei http://dbpedia.org/resource/Gao_Wai_Tong
1,3,In Between æ\u0096°å\u0090\u008Cå± æ\u0099\u0082ä»£,http://dbpedia.org/resource/American_English,http://dbpedia.org/resource/New_Age_of_Living_Together http://dbpedia.org/resource/In_Between_(1994_film) http://dbpedia.org/resource/Conjugal_Affairs http://dbpedia.org/resource/The_New_Age_of_Living_Together
1,5,Red Rose White Rose ç´ ç\u008E«ç\u0091°ç\u0099½ç\u008E«ç\u0091°,http://dbpedia.org/resource/Flag_of_the_United_States,"http://dbpedia.org/resource/Hong_mei_gui_bai_mei_gui http://dbpedia.org/resource/Red_Rose,_White_Rose http://dbpedia.org/resource/Red_Rose_White_Rose"
1,9,Tonight Nobody Goes Home ä»\u008Aå¤©ä¸\u008Då\u009B\u009Eå®¶,http://dbpedia.org/resource/Bofors_40_mm_gun,http://dbpedia.org/resource/Jin_tian_bu_hui_jia http://dbpedia.org/resource/Tonight_Nobody_Goes_Home
1,15,The Soong Sisters å®\u008Bå®¶ç\u009A\u0087æ\u009C\u009D,http://dbpedia.org/resource/C0_and_C1_control_codes,http://dbpedia.org/resource/The_Soong_Sisters_(film)
1,16,A Little Life-Opera ä¸\u0080ç\u0094\u009Fä¸\u0080å\u008F°æ\u0088²,http://dbpedia.org/resource/Ukrainian_language,http://dbpedia.org/resource/A_Little_Life-Opera http://dbpedia.org/resource/Little_Life-Opera
1,18,The Touch å¤©è\u0084\u0088å\u0082³å¥\u0087,http://dbpedia.org/resource/7_July_2005_London_bombings,http://dbpedia.org/resource/The_Touch_(2002_film)
1,20,Road to Dawn å¤\u009CÂ·æ\u0098\u008E,http://dbpedia.org/resource/American_English,http://dbpedia.org/resource/Road_to_Dawn http://dbpedia.org/resource/Ye_ming
1,21,1911 è¾\u009Bäº¥é\u009D©å\u0091½,http://dbpedia.org/resource/Italo-Turkish_War,http://dbpedia.org/resource/1911_(movie) http://dbpedia.org/resource/Xinhai_Revolution_(film) http://dbpedia.org/resource/1911_(film)
