F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,2,Delft,http://dbpedia.org/resource/Delft,http://dbpedia.org/resource/Delft_Divisional_Secretary's_Division
0,3,Islands North,http://dbpedia.org/resource/Northern_Mariana_Islands,http://dbpedia.org/resource/Island_North_Divisional_Secretary's_Division
0,4,Islands South,http://dbpedia.org/resource/Turks_and_Caicos_Islands,http://dbpedia.org/resource/Island_South_Divisional_Secretary's_Division
0,5,Jaffna,http://dbpedia.org/resource/Jaffna_Divisional_Secretariat,http://dbpedia.org/resource/Jaffna_Divisional_Secretary's_Division
0,7,Nallur,http://dbpedia.org/resource/Nallur_Divisional_Secretariat,http://dbpedia.org/resource/Nallur_Divisional_Secretary's_Division
0,8,Thenmarachchi,http://dbpedia.org/resource/Thenmaradchi_Divisional_Secretariat,http://dbpedia.org/resource/Thenmarachchi_Divisional_Secretary's_Division
0,9,Vadamarachchi East,http://dbpedia.org/resource/Vadamaradchi_East_Divisional_Secretariat,http://dbpedia.org/resource/Vadamarachchi_East_Divisional_Secretary's_Division
0,10,Vadamarachchi North,http://dbpedia.org/resource/Vadamaradchi_North_Divisional_Secretariat,http://dbpedia.org/resource/Vadamarachchi_North_Divisional_Secretary's_Division
0,11,Vadamarachchi South West,http://dbpedia.org/resource/Vadamaradchi_South-West_Divisional_Secretariat,http://dbpedia.org/resource/Vadamarachchi_South_West_Divisional_Secretary's_Division
0,12,Valikamam East,http://dbpedia.org/resource/Valikamam_East_Divisional_Secretariat,http://dbpedia.org/resource/Valikamam_East_Divisional_Secretary's_Division
0,13,Valikamam North,http://dbpedia.org/resource/Valikamam_North_Divisional_Secretariat,http://dbpedia.org/resource/Valikamam_North_Divisional_Secretary's_Division
0,14,Valikamam South,http://dbpedia.org/resource/Valikamam_South_Divisional_Secretariat,http://dbpedia.org/resource/Valikamam_South_Divisional_Secretary's_Division
0,15,Valikamam South West,http://dbpedia.org/resource/Valikamam_South-West_Divisional_Secretariat,http://dbpedia.org/resource/Valikamam_South_West_Divisional_Secretary's_Division
0,16,Valikamam West,http://dbpedia.org/resource/Valikamam_West_Divisional_Secretariat,http://dbpedia.org/resource/Valikamam_West_Divisional_Secretary's_Division
