F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Portland,"http://dbpedia.org/resource/William_Cavendish-Bentinck,_3rd_Duke_of_Portland",http://dbpedia.org/resource/2008–09_Portland_Trail_Blazers_season
1,2,Portland,"http://dbpedia.org/resource/William_Cavendish-Bentinck,_3rd_Duke_of_Portland",http://dbpedia.org/resource/2009–10_Portland_Trail_Blazers_season
1,3,New Orleans,http://dbpedia.org/resource/NCIS:_New_Orleans,http://dbpedia.org/resource/2010–11_New_Orleans_Hornets_season
1,4,Toronto,http://dbpedia.org/resource/Toronto,http://dbpedia.org/resource/2010–11_Toronto_Raptors_season
1,5,Toronto,http://dbpedia.org/resource/Toronto,http://dbpedia.org/resource/2011–12_Toronto_Raptors_season
1,6,Memphis,"http://dbpedia.org/resource/Memphis,_Tennessee",http://dbpedia.org/resource/2012–13_Memphis_Grizzlies_season
1,7,Memphis,"http://dbpedia.org/resource/Memphis,_Tennessee",http://dbpedia.org/resource/2013–14_Memphis_Grizzlies_season
1,8,Boston,http://dbpedia.org/resource/Boston,http://dbpedia.org/resource/2013–14_Boston_Celtics_season
1,9,Milwaukee,http://dbpedia.org/resource/Milwaukee,http://dbpedia.org/resource/2014–15_Milwaukee_Bucks_season
