F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Northern Railway,http://dbpedia.org/resource/Canadian_National_Railway,http://dbpedia.org/resource/Northern_Railway_(India) http://dbpedia.org/resource/Northern_Railways_Zone_(India) http://dbpedia.org/resource/Northern_Railway_zone http://dbpedia.org/resource/Northern_Railway_Zone http://dbpedia.org/resource/Northern_Railways http://dbpedia.org/resource/Northern_Railway_Zone_(India)
1,2,North Eastern Railway,http://dbpedia.org/resource/Mexico,http://dbpedia.org/resource/North_Eastern_Railways http://dbpedia.org/resource/North_Eastern_Railway_(India) http://dbpedia.org/resource/North_Eastern_Railway_zone http://dbpedia.org/resource/North_Eastern_Railway_Zone_(India) http://dbpedia.org/resource/North_Eastern_Railway_Zone
1,3,Northeast Frontier Railway,http://dbpedia.org/resource/Northeast_Corridor,http://dbpedia.org/resource/Northeast_Frontier_Railway_Zone http://dbpedia.org/resource/Northeast_Frontier_Railway_Zone_(India) http://dbpedia.org/resource/North_East_Frontier_Railway http://dbpedia.org/resource/N_F_Railway http://dbpedia.org/resource/Northeast_Frontier_Railways http://dbpedia.org/resource/North-East_Frontier_Railway http://dbpedia.org/resource/Northeast_Frontier_Railway http://dbpedia.org/resource/Northeast_Frontier_Railway_zone
1,4,Eastern Railway,http://dbpedia.org/resource/Indian_Railways,http://dbpedia.org/resource/Eastern_Railways_(India) http://dbpedia.org/resource/Eastern_Railway_Zone http://dbpedia.org/resource/Eastern_Railway_(India) http://dbpedia.org/resource/Eastern_Railway_zone http://dbpedia.org/resource/Eastern_Railway_Zone_(India)
1,5,South Eastern Railway,http://dbpedia.org/resource/Mexico,"http://dbpedia.org/resource/South_Eastern_Railway_zone http://dbpedia.org/resource/South_Eastern_Railway_Zone,_India http://dbpedia.org/resource/South_Eastern_Railway_Zone_(India) http://dbpedia.org/resource/Bengal-Nagpur_Railway http://dbpedia.org/resource/South_Eastern_Railway_Zone http://dbpedia.org/resource/South_Eastern_Railway_(India)"
1,6,South Central Railway,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/South_Central_Railway_Zone http://dbpedia.org/resource/South_Central_Railway_zone http://dbpedia.org/resource/South_Central_Railway http://dbpedia.org/resource/South-Central_Railway http://dbpedia.org/resource/South_Central_Railway_Zone_(India) http://dbpedia.org/resource/South_Central_Railways
1,7,Southern Railway,http://dbpedia.org/resource/Southern_Cross_railway_station,http://dbpedia.org/resource/Southern_Railway_Zone http://dbpedia.org/resource/Trains_of_Southern_Railway http://dbpedia.org/resource/Trains_of_SR http://dbpedia.org/resource/Southern_Railway_(India) http://dbpedia.org/resource/Southern_Railway_Zone_(India) http://dbpedia.org/resource/Southern_Railway_zone
1,8,Central Railway,"http://dbpedia.org/resource/Central_railway_station,_Sydney",http://dbpedia.org/resource/Central_Railway_aone http://dbpedia.org/resource/Mumbai_Division http://dbpedia.org/resource/Central_Railways http://dbpedia.org/resource/Central_Railway_Zone_(India) http://dbpedia.org/resource/Central_Railway_Zone http://dbpedia.org/resource/Central_Railway_(India) http://dbpedia.org/resource/Central_Railway_zone
1,9,Western Railway,http://dbpedia.org/resource/Southwestern_Railways,http://dbpedia.org/resource/Western_Railways http://dbpedia.org/resource/Ratlam_Rail_Division http://dbpedia.org/resource/Western_Railway_Zone http://dbpedia.org/resource/Western_Railway_zone http://dbpedia.org/resource/Western_Railways_zone http://dbpedia.org/resource/Western_Railway_Zone_(India) http://dbpedia.org/resource/Western_Railway_(India) http://dbpedia.org/resource/Western_Indian_Railways
1,10,South Western Railway,http://dbpedia.org/resource/Mexico,http://dbpedia.org/resource/Karnataka_railway_network http://dbpedia.org/resource/South_Western_Railway http://dbpedia.org/resource/South_Western_Railway_(India) http://dbpedia.org/resource/South_Western_Railway_Zone http://dbpedia.org/resource/Trains_of_SWR http://dbpedia.org/resource/Trains_of_Southwestern_Railway http://dbpedia.org/resource/South_Western_Railway_zone http://dbpedia.org/resource/South_Western_Railway_Zone_(India)
1,11,North Western Railway,http://dbpedia.org/resource/Mexico,http://dbpedia.org/resource/North_Western_Railway_zone http://dbpedia.org/resource/North_Western_Railway http://dbpedia.org/resource/North_Western_Railway_(India) http://dbpedia.org/resource/North_Western_Railway_Zone_(India) http://dbpedia.org/resource/North_Western_Railway_Zone
1,12,West Central Railway,http://dbpedia.org/resource/Kolkata,http://dbpedia.org/resource/West_Central_Railways http://dbpedia.org/resource/Western_Central_Railway http://dbpedia.org/resource/West_Central_Railway http://dbpedia.org/resource/West_Central_Railway_Zone_(India) http://dbpedia.org/resource/West_Central_Railway_zone http://dbpedia.org/resource/West_Central_Railway_Zone
1,13,North Central Railway,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/North_Central_Railway_Zone http://dbpedia.org/resource/North_Central_Railway_Zone_(India) http://dbpedia.org/resource/North_Central_Railway_zone http://dbpedia.org/resource/North_Central_Railway http://dbpedia.org/resource/N.C.R http://dbpedia.org/resource/North_Central_Railways
1,14,South East Central Railway,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/South_East_Central_Railway_Zone_(India) http://dbpedia.org/resource/South_East_Central_Railway_Zone http://dbpedia.org/resource/South_East_Central_Railway http://dbpedia.org/resource/South_East_Central_Railway_zone
1,15,East Coast Railway,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/East_Coast_Railway_Zone_(India) http://dbpedia.org/resource/East_Coast_Railway http://dbpedia.org/resource/East_Coast_Railway_Zone http://dbpedia.org/resource/East_Coast_Railway_zone
1,16,East Central Railway,http://dbpedia.org/resource/Italy,http://dbpedia.org/resource/East_Central_Railway_Zone http://dbpedia.org/resource/East_Central_Railway http://dbpedia.org/resource/East_Central_Railway_zone http://dbpedia.org/resource/East_Central_Railway_Zone_(India)
