F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,UTC+02:00,http://dbpedia.org/resource/Kaliningrad_Time,http://dbpedia.org/resource/UTC+02:00
1,3,UTC+04:00,http://dbpedia.org/resource/Time_in_Brazil,http://dbpedia.org/resource/UTC+04:00
1,4,UTC+05:00,http://dbpedia.org/resource/UTC−05:00,http://dbpedia.org/resource/UTC+05:00
1,5,UTC+06:00,http://dbpedia.org/resource/Bangladesh_Standard_Time,http://dbpedia.org/resource/UTC+06:00
1,6,UTC+07:00,http://dbpedia.org/resource/Time_in_Mongolia,http://dbpedia.org/resource/UTC+07:00
1,7,UTC+08:00,http://dbpedia.org/resource/Time_in_Taiwan,http://dbpedia.org/resource/UTC+08:00
1,8,UTC+09:00,http://dbpedia.org/resource/Time_in_Indonesia,http://dbpedia.org/resource/UTC+09:00
1,9,UTC+10:00,http://dbpedia.org/resource/Time_in_France,http://dbpedia.org/resource/UTC+10:00
1,10,UTC+11:00,http://dbpedia.org/resource/Time_in_New_Zealand,http://dbpedia.org/resource/UTC+11:00
1,11,UTC+12:00,http://dbpedia.org/resource/Sri_Lanka_Standard_Time,http://dbpedia.org/resource/UTC+12:00
