F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
3,1,TCU,http://dbpedia.org/resource/Texas_Christian_University,http://dbpedia.org/resource/Texas_Christian_University_Horned_Frogs_football http://dbpedia.org/resource/Tcu_horned_frogs_football http://dbpedia.org/resource/TCU_Horned_Frogs_football http://dbpedia.org/resource/List_of_TCU_Horned_Frogs_bowl_games http://dbpedia.org/resource/TCU_football http://dbpedia.org/resource/Texas_Christian_Horned_Frogs_football
3,2,UCLA,"http://dbpedia.org/resource/University_of_California,_Los_Angeles","http://dbpedia.org/resource/UCLA_Bruins_football_(1980-1989) http://dbpedia.org/resource/UCLA_Cubs_football http://dbpedia.org/resource/Cal-Los_Angeles_Bruins_football http://dbpedia.org/resource/Ucla_bruins_football http://dbpedia.org/resource/UCLA_Bruins_football http://dbpedia.org/resource/UCLA_Bruins_football_(1980–1989) http://dbpedia.org/resource/UC_Los_Angeles_Bruins_football http://dbpedia.org/resource/Cal–Los_Angeles_Bruins_football http://dbpedia.org/resource/List_of_UCLA_Bruins_football_head_coaches http://dbpedia.org/resource/UCLA_Grizzlies_football http://dbpedia.org/resource/Southern_Branch_Cubs_football http://dbpedia.org/resource/ULCA_Bruins_Football http://dbpedia.org/resource/California–Los_Angeles_Bruins_football http://dbpedia.org/resource/UC–Los_Angeles_Bruins_football http://dbpedia.org/resource/UC-Los_Angeles_Bruins_football http://dbpedia.org/resource/UCLA_Bruins_Football http://dbpedia.org/resource/UCLA_Bruins_football_retired_numbers http://dbpedia.org/resource/UCLA_football http://dbpedia.org/resource/UCLA_Bruins_football,_1980-89 http://dbpedia.org/resource/List_of_UCLA_Bruins_head_football_coaches http://dbpedia.org/resource/Southern_Branch_Grizzlies_football http://dbpedia.org/resource/California-Los_Angeles_Bruins_football"
3,3,Tulsa,http://dbpedia.org/resource/BOK_Center,http://dbpedia.org/resource/Tulsa_Golden_Hurricane_football http://dbpedia.org/resource/Tulsa_Golden_Hurricanes_football http://dbpedia.org/resource/List_of_Tulsa_Golden_Hurricane_bowl_games http://dbpedia.org/resource/Tulsa_Orange_and_Black_football http://dbpedia.org/resource/Henry_Kendall_Orange_and_Black_football http://dbpedia.org/resource/Kendall_Orange_and_Black_football
3,4,North Carolina,http://dbpedia.org/resource/North_Carolina,http://dbpedia.org/resource/North_Carolina_Tarheels_football http://dbpedia.org/resource/UNC_Nannygate http://dbpedia.org/resource/North_Carolina_Tar_Heels_football http://dbpedia.org/resource/North_Carolina_Tar_Heels_American_football http://dbpedia.org/resource/North_carolina_football http://dbpedia.org/resource/Unc_football http://dbpedia.org/resource/North_carolina_tar_heels_football
3,5,Maryland,http://dbpedia.org/resource/Maryland,http://dbpedia.org/resource/Terps_football http://dbpedia.org/resource/Maryland_Gridiron_Network http://dbpedia.org/resource/Maryland_football http://dbpedia.org/resource/Maryland_terrapins_football http://dbpedia.org/resource/University_of_Maryland_football http://dbpedia.org/resource/Maryland_State_Aggies_football http://dbpedia.org/resource/Maryland_Terrapins_football
3,6,Texas,http://dbpedia.org/resource/Texas,http://dbpedia.org/resource/Texas_Longhorns_football_(1940-49) http://dbpedia.org/resource/Texas_longhorns_football http://dbpedia.org/resource/Texas_Longhorns_football_(1950-1959) http://dbpedia.org/resource/Texas_Longhorns_American_football http://dbpedia.org/resource/Texas_Longhorns_football_(1960-69) http://dbpedia.org/resource/Texas_Longhorns_football_(1950–1959) http://dbpedia.org/resource/Texas_Longhorns_football_(1960–1969) http://dbpedia.org/resource/Texas_Longhorns_football_(1960-1969) http://dbpedia.org/resource/Longhorn_football http://dbpedia.org/resource/Texas_Longhorns_football http://dbpedia.org/resource/Texas_Longhorn_football http://dbpedia.org/resource/List_of_Texas_Longhorns_bowl_games http://dbpedia.org/resource/Texas_Longhorns_football_team http://dbpedia.org/resource/Texas_Longhorn_football_team http://dbpedia.org/resource/Texas_longhorn_football http://dbpedia.org/resource/Texas_Longhorns_football_(1940–1949) http://dbpedia.org/resource/Texas_Longhorns_football_(1950-59) http://dbpedia.org/resource/Texas_football http://dbpedia.org/resource/Texas_Longhorns_football_(1940-1949)
3,7,Texas A&M,http://dbpedia.org/resource/Texas_A&M_University,http://dbpedia.org/resource/Texas_A&M_Aggies_football
3,8,Missouri,http://dbpedia.org/resource/Missouri,http://dbpedia.org/resource/Missouri_football http://dbpedia.org/resource/Missouri_Tigers_football http://dbpedia.org/resource/Mizzou_Football http://dbpedia.org/resource/Missouri_Tigers_football_team http://dbpedia.org/resource/List_of_Missouri_Tigers_bowl_games
3,10,Texas Tech,http://dbpedia.org/resource/Texas_Tech_University,http://dbpedia.org/resource/Texas_tech_football http://dbpedia.org/resource/Red_Raiders_football http://dbpedia.org/resource/Texas_Tech_Red_Raider_football http://dbpedia.org/resource/Texas_Tech_Red_Raiders_football http://dbpedia.org/resource/Texas_Tech_Matadors_football http://dbpedia.org/resource/Texas_Tech_Red_Raiders_football_team
