F1: 0.21429,Precision: 0.21429,Recall: 0.21429,,
Col,Row,Value,Submitted URI,Correct URI's
5,1,Independent,http://dbpedia.org/resource/Republican_Party_of_Minnesota,http://dbpedia.org/resource/No_party_preference http://dbpedia.org/resource/Unaligned_independent http://dbpedia.org/resource/Independent_candidates http://dbpedia.org/resource/Independent_Labour http://dbpedia.org/resource/Political_independent http://dbpedia.org/resource/Political_Independent http://dbpedia.org/resource/Right-wing_independent http://dbpedia.org/resource/Independent_politicians http://dbpedia.org/resource/None_(political_affiliation) http://dbpedia.org/resource/Independent_(political) http://dbpedia.org/resource/No-party http://dbpedia.org/resource/Independent_candidate http://dbpedia.org/resource/Independent_conservative http://dbpedia.org/resource/Independent_(Canada) http://dbpedia.org/resource/Independent_(politican) http://dbpedia.org/resource/Independent_(politics) http://dbpedia.org/resource/Independent_politician_(United_States) http://dbpedia.org/resource/Independent_Candidate http://dbpedia.org/resource/Independents_(politician) http://dbpedia.org/resource/Unaligned_Independent_(politician) http://dbpedia.org/resource/Independent_politician_(Ireland) http://dbpedia.org/resource/Independent_(United_States) http://dbpedia.org/resource/No_Party_Affiliation http://dbpedia.org/resource/Independent_Politician http://dbpedia.org/resource/Independent_Party_(United_States) http://dbpedia.org/resource/Non-party http://dbpedia.org/resource/Independent_Liberal_Democrat http://dbpedia.org/resource/Independent_(politician) http://dbpedia.org/resource/Independent_Residents http://dbpedia.org/resource/Independent_councillor http://dbpedia.org/resource/Nonpartisan_politician http://dbpedia.org/resource/Independent_Politician_(United_States) http://dbpedia.org/resource/Nominated_by_Petition http://dbpedia.org/resource/Independent_(Politics) http://dbpedia.org/resource/Non-Party_Affiliate http://dbpedia.org/resource/Independent_politician http://dbpedia.org/resource/No_party_affiliation
5,2,Labour Party,http://dbpedia.org/resource/Scottish_Labour_Party,http://dbpedia.org/resource/Parliamentary_Labour_Party_(Ireland) http://dbpedia.org/resource/Irish_labour http://dbpedia.org/resource/Irish_Labour_Party http://dbpedia.org/resource/Irish_Labour http://dbpedia.org/resource/Labour_Party_(Ireland)
5,3,Martin McAleese resigns from the Seanad.[14],http://dbpedia.org/resource/Texas_House_of_Representatives,http://dbpedia.org/resource/Martin_McAleese
5,6,"Hildegarde Naughton appointed, replacing Martin McAleese.[15]",http://dbpedia.org/resource/Martin_McAleese,http://dbpedia.org/resource/Hildegarde_Naughton
5,7,Deirdre Clune resigns from the Seanad after being elected to the European Parliament.[9],http://dbpedia.org/resource/United_States_Senate,http://dbpedia.org/resource/Deirdre_Clune
5,8,Gerard Craughwell wins by-election to replace Deirdre Clune.[10],http://dbpedia.org/resource/Tantamount_to_election,http://dbpedia.org/resource/Gerard_Craughwell
5,10,Independent,http://dbpedia.org/resource/Republican_Party_of_Minnesota,http://dbpedia.org/resource/No_party_preference http://dbpedia.org/resource/Unaligned_independent http://dbpedia.org/resource/Independent_candidates http://dbpedia.org/resource/Independent_Labour http://dbpedia.org/resource/Political_independent http://dbpedia.org/resource/Political_Independent http://dbpedia.org/resource/Right-wing_independent http://dbpedia.org/resource/Independent_politicians http://dbpedia.org/resource/None_(political_affiliation) http://dbpedia.org/resource/Independent_(political) http://dbpedia.org/resource/No-party http://dbpedia.org/resource/Independent_candidate http://dbpedia.org/resource/Independent_conservative http://dbpedia.org/resource/Independent_(Canada) http://dbpedia.org/resource/Independent_(politican) http://dbpedia.org/resource/Independent_(politics) http://dbpedia.org/resource/Independent_politician_(United_States) http://dbpedia.org/resource/Independent_Candidate http://dbpedia.org/resource/Independents_(politician) http://dbpedia.org/resource/Unaligned_Independent_(politician) http://dbpedia.org/resource/Independent_politician_(Ireland) http://dbpedia.org/resource/Independent_(United_States) http://dbpedia.org/resource/No_Party_Affiliation http://dbpedia.org/resource/Independent_Politician http://dbpedia.org/resource/Independent_Party_(United_States) http://dbpedia.org/resource/Non-party http://dbpedia.org/resource/Independent_Liberal_Democrat http://dbpedia.org/resource/Independent_(politician) http://dbpedia.org/resource/Independent_Residents http://dbpedia.org/resource/Independent_councillor http://dbpedia.org/resource/Nonpartisan_politician http://dbpedia.org/resource/Independent_Politician_(United_States) http://dbpedia.org/resource/Nominated_by_Petition http://dbpedia.org/resource/Independent_(Politics) http://dbpedia.org/resource/Non-Party_Affiliate http://dbpedia.org/resource/Independent_politician http://dbpedia.org/resource/No_party_affiliation
5,11,Independent,http://dbpedia.org/resource/Republican_Party_of_Minnesota,http://dbpedia.org/resource/No_party_preference http://dbpedia.org/resource/Unaligned_independent http://dbpedia.org/resource/Independent_candidates http://dbpedia.org/resource/Independent_Labour http://dbpedia.org/resource/Political_independent http://dbpedia.org/resource/Political_Independent http://dbpedia.org/resource/Right-wing_independent http://dbpedia.org/resource/Independent_politicians http://dbpedia.org/resource/None_(political_affiliation) http://dbpedia.org/resource/Independent_(political) http://dbpedia.org/resource/No-party http://dbpedia.org/resource/Independent_candidate http://dbpedia.org/resource/Independent_conservative http://dbpedia.org/resource/Independent_(Canada) http://dbpedia.org/resource/Independent_(politican) http://dbpedia.org/resource/Independent_(politics) http://dbpedia.org/resource/Independent_politician_(United_States) http://dbpedia.org/resource/Independent_Candidate http://dbpedia.org/resource/Independents_(politician) http://dbpedia.org/resource/Unaligned_Independent_(politician) http://dbpedia.org/resource/Independent_politician_(Ireland) http://dbpedia.org/resource/Independent_(United_States) http://dbpedia.org/resource/No_Party_Affiliation http://dbpedia.org/resource/Independent_Politician http://dbpedia.org/resource/Independent_Party_(United_States) http://dbpedia.org/resource/Non-party http://dbpedia.org/resource/Independent_Liberal_Democrat http://dbpedia.org/resource/Independent_(politician) http://dbpedia.org/resource/Independent_Residents http://dbpedia.org/resource/Independent_councillor http://dbpedia.org/resource/Nonpartisan_politician http://dbpedia.org/resource/Independent_Politician_(United_States) http://dbpedia.org/resource/Nominated_by_Petition http://dbpedia.org/resource/Independent_(Politics) http://dbpedia.org/resource/Non-Party_Affiliate http://dbpedia.org/resource/Independent_politician http://dbpedia.org/resource/No_party_affiliation
5,14,Independent,http://dbpedia.org/resource/Republican_Party_of_Minnesota,http://dbpedia.org/resource/No_party_preference http://dbpedia.org/resource/Unaligned_independent http://dbpedia.org/resource/Independent_candidates http://dbpedia.org/resource/Independent_Labour http://dbpedia.org/resource/Political_independent http://dbpedia.org/resource/Political_Independent http://dbpedia.org/resource/Right-wing_independent http://dbpedia.org/resource/Independent_politicians http://dbpedia.org/resource/None_(political_affiliation) http://dbpedia.org/resource/Independent_(political) http://dbpedia.org/resource/No-party http://dbpedia.org/resource/Independent_candidate http://dbpedia.org/resource/Independent_conservative http://dbpedia.org/resource/Independent_(Canada) http://dbpedia.org/resource/Independent_(politican) http://dbpedia.org/resource/Independent_(politics) http://dbpedia.org/resource/Independent_politician_(United_States) http://dbpedia.org/resource/Independent_Candidate http://dbpedia.org/resource/Independents_(politician) http://dbpedia.org/resource/Unaligned_Independent_(politician) http://dbpedia.org/resource/Independent_politician_(Ireland) http://dbpedia.org/resource/Independent_(United_States) http://dbpedia.org/resource/No_Party_Affiliation http://dbpedia.org/resource/Independent_Politician http://dbpedia.org/resource/Independent_Party_(United_States) http://dbpedia.org/resource/Non-party http://dbpedia.org/resource/Independent_Liberal_Democrat http://dbpedia.org/resource/Independent_(politician) http://dbpedia.org/resource/Independent_Residents http://dbpedia.org/resource/Independent_councillor http://dbpedia.org/resource/Nonpartisan_politician http://dbpedia.org/resource/Independent_Politician_(United_States) http://dbpedia.org/resource/Nominated_by_Petition http://dbpedia.org/resource/Independent_(Politics) http://dbpedia.org/resource/Non-Party_Affiliate http://dbpedia.org/resource/Independent_politician http://dbpedia.org/resource/No_party_affiliation
