F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
1,1,Fujin Road (Baoshan),http://dbpedia.org/resource/G2512_Fuxin–Jinzhou_Expressway,http://dbpedia.org/resource/Fujin_Road http://dbpedia.org/resource/Fujin_Road_(Shanghai_Metro) http://dbpedia.org/resource/Fujin_Road_Station http://dbpedia.org/resource/Fujin_Rd
1,2,East Xujing (Qingpu),"http://dbpedia.org/resource/East_Moline,_Illinois",http://dbpedia.org/resource/Xujing_Town_(Shanghai_Metro) http://dbpedia.org/resource/Xujing_East_Station http://dbpedia.org/resource/East_Xujing_Station http://dbpedia.org/resource/Xujing_East_(Shanghai_Metro) http://dbpedia.org/resource/East_Xujing_(Shanghai_Metro) http://dbpedia.org/resource/Xujing_(Shanghai_Metro)
1,3,North Jiangyang Road (Baoshan),http://dbpedia.org/resource/North_Jiangyang_Road_station,http://dbpedia.org/resource/North_Jiangyang_Road_(Shanghai_Metro) http://dbpedia.org/resource/Jiangyang_North_Road_Station http://dbpedia.org/resource/Jiāngyáng_Běi_Lù_Zhàn http://dbpedia.org/resource/江杨北路站 http://dbpedia.org/resource/North_Jiangyang_Road_Station http://dbpedia.org/resource/江楊北路站 http://dbpedia.org/resource/Jiangyang_Road_(North)_(Shanghai_Metro)
1,4,Yishan Road (Xuhui),http://dbpedia.org/resource/Yishan_Road_station,http://dbpedia.org/resource/Yishan_Road_(Shanghai_Metro) http://dbpedia.org/resource/Yishan_Road_Station http://dbpedia.org/resource/Yishan_Lu
1,6,Gangcheng Road (Pudong),http://dbpedia.org/resource/Gangcheng_Road_station,http://dbpedia.org/resource/Gangcheng_Road_Station http://dbpedia.org/resource/Gangcheng_Road_(Shanghai_Metro)
1,7,Meilan Lake (Baoshan),http://dbpedia.org/resource/Meilan_Lake_station,http://dbpedia.org/resource/Meilanhu_(Shanghai_Metro) http://dbpedia.org/resource/Meilan_Lake_(Shanghai_Metro) http://dbpedia.org/resource/Meilan_Lake_Station
1,8,Shiguang Road (Yangpu),http://dbpedia.org/resource/Shiguang_Road_station,http://dbpedia.org/resource/Shiguang_Road_Station http://dbpedia.org/resource/Shiguang_Road_(Shanghai_Metro)
1,9,Songjiang South Railway Station (Songjiang),http://dbpedia.org/resource/Songjiang_South_railway_station,http://dbpedia.org/resource/Songjiang_South_Railway_Station http://dbpedia.org/resource/Songjiang_South_Railway_Station_Station
1,10,Xinjiangwancheng (Yangpu),http://dbpedia.org/resource/Xinjiangwancheng_station,http://dbpedia.org/resource/New_Jiangwan_City_(Shanghai_Metro) http://dbpedia.org/resource/Xinjiangwancheng_Station http://dbpedia.org/resource/Xinjiangwancheng_(Shanghai_Metro) http://dbpedia.org/resource/New_Jiangwan_Town_(Shanghai_Metro)
1,11,"North Jiading (Jiading) Huaqiao (Kunshan, Jiangsu)",http://dbpedia.org/resource/North_Jiading_station,http://dbpedia.org/resource/North_Jiading_(Shanghai_Metro) http://dbpedia.org/resource/North_Jiading_Station http://dbpedia.org/resource/Jiading_North_Station http://dbpedia.org/resource/Jiading_North_(Shanghai_Metro)
1,12,Qixin Road (Minhang),http://dbpedia.org/resource/Qixin_Road_station,http://dbpedia.org/resource/Qixin_Road_Station
1,13,Shibo Avenue (Pudong),http://dbpedia.org/resource/Shibo_Avenue_station,http://dbpedia.org/resource/Shibo_Avenue_(Shanghai_Metro) http://dbpedia.org/resource/Shibo_Avenue_Station http://dbpedia.org/resource/EXPO_Park_(Shanghai_Metro)
1,14,Longyang Road (Pudong),http://dbpedia.org/resource/Longyang_Road_station,http://dbpedia.org/resource/Longyang_Road_Station http://dbpedia.org/resource/Longyang_Road_(Shanghai_Metro) http://dbpedia.org/resource/Longyang_Lu http://dbpedia.org/resource/龍陽路站 http://dbpedia.org/resource/Longyang_Road http://dbpedia.org/resource/Lóngyáng_Lù_Zhàn http://dbpedia.org/resource/龙阳路站
