F1: 0.18182,Precision: 0.18182,Recall: 0.18182,,
Col,Row,Value,Submitted URI,Correct URI's
0,1,Ebbsfleet [25],http://dbpedia.org/resource/Ebbsfleet_International_railway_station,"http://dbpedia.org/resource/Ebbsfleet_(Thanet) http://dbpedia.org/resource/Ebbsfleet,_Thanet"
0,2,Old Windsor I [10],http://dbpedia.org/resource/Elizabeth_II,"http://dbpedia.org/resource/Old_Windsor http://dbpedia.org/resource/St_Peter's_Middle_School,_Old_Windsor http://dbpedia.org/resource/St_Peter's_CE_Middle_School_Old_Windsor"
0,3,Old Windsor II [10],http://dbpedia.org/resource/Elizabeth_II,"http://dbpedia.org/resource/Old_Windsor http://dbpedia.org/resource/St_Peter's_Middle_School,_Old_Windsor http://dbpedia.org/resource/St_Peter's_CE_Middle_School_Old_Windsor"
0,4,"Raunds, West Cotton [26]",,"http://dbpedia.org/resource/Raunds http://dbpedia.org/resource/Raunds,_Northamptonshire"
0,5,Tamworth [10],http://dbpedia.org/resource/Tamworth_F.C.,"http://dbpedia.org/resource/Tamworth,_Staffordshire http://dbpedia.org/resource/Tamworth,_England http://dbpedia.org/resource/Tameworth http://dbpedia.org/resource/Two_Gates"
0,6,Dasing [27],http://dbpedia.org/resource/Dasing_station,http://dbpedia.org/resource/Dasing
0,11,Little Island I [10][11],http://dbpedia.org/resource/Rhode_Island,"http://dbpedia.org/resource/Little_Island,_Cork"
0,12,Little Island II [10][11],http://dbpedia.org/resource/Little_Scrub_Island,"http://dbpedia.org/resource/Little_Island,_Cork"
0,15,Nendrum Monastery mill [29],http://dbpedia.org/resource/New_Jerusalem_Monastery,http://dbpedia.org/resource/Nendrum_Monastery_mill
