F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
0,2,Russian,http://dbpedia.org/resource/Russia,http://dbpedia.org/resource/Russian_term http://dbpedia.org/resource/Руcкии http://dbpedia.org/resource/რუსული_ენა http://dbpedia.org/resource/Ruckii http://dbpedia.org/resource/Русский http://dbpedia.org/resource/Pusskii_iazyk http://dbpedia.org/resource/Русский_язык http://dbpedia.org/resource/Russkiy_yazyk http://dbpedia.org/resource/ISO_639:rus http://dbpedia.org/resource/Russiam_language http://dbpedia.org/resource/Pyccknn http://dbpedia.org/resource/Pусский_Язык http://dbpedia.org/resource/Russian_words http://dbpedia.org/resource/Nyet http://dbpedia.org/resource/Russian_(language) http://dbpedia.org/resource/Russian_Language http://dbpedia.org/resource/ISO_639:ru http://dbpedia.org/resource/Russian-language http://dbpedia.org/resource/Pусский_язык http://dbpedia.org/resource/Pycckuŭ http://dbpedia.org/resource/Russian_speaker http://dbpedia.org/resource/Russian_language http://dbpedia.org/resource/Standard_Russian http://dbpedia.org/resource/Pusskii_Iazyk
0,3,Ukrainian,http://dbpedia.org/resource/Ukraine,http://dbpedia.org/resource/Ukrainian-language http://dbpedia.org/resource/Ukrainska http://dbpedia.org/resource/Ykpaihcbka http://dbpedia.org/resource/Ukr http://dbpedia.org/resource/Ukrainian_word http://dbpedia.org/resource/Red_Ruthenian_language http://dbpedia.org/resource/Ukranian_language http://dbpedia.org/resource/Ukrainophonic http://dbpedia.org/resource/Ukrainian_language http://dbpedia.org/resource/ISO_639:ukr http://dbpedia.org/resource/Ukrainian-language_literaturateurs http://dbpedia.org/resource/Українська_мова http://dbpedia.org/resource/Ukrainska_mova http://dbpedia.org/resource/Ukrainian_Language http://dbpedia.org/resource/Українська http://dbpedia.org/resource/Ukrainian_(language) http://dbpedia.org/resource/ISO_639:uk
0,4,Belarusian,http://dbpedia.org/resource/Belarus,http://dbpedia.org/resource/Belorussian_language http://dbpedia.org/resource/Byelaruskaya_mova http://dbpedia.org/resource/Bielorussian_language http://dbpedia.org/resource/ISO_639:bel http://dbpedia.org/resource/Belarusian_Language http://dbpedia.org/resource/Belarusian_surname http://dbpedia.org/resource/White_Russian_language http://dbpedia.org/resource/Biełaruskaja_mova http://dbpedia.org/resource/Belarussian_language http://dbpedia.org/resource/Беларуская http://dbpedia.org/resource/Byelorussian_language http://dbpedia.org/resource/Belarus_language http://dbpedia.org/resource/Belorussian_Language http://dbpedia.org/resource/Belarusan_language http://dbpedia.org/resource/Belarusian_(language) http://dbpedia.org/resource/Belarusian-language http://dbpedia.org/resource/Belarusian_language http://dbpedia.org/resource/ISO_639:be http://dbpedia.org/resource/Belorusian_language http://dbpedia.org/resource/Беларуская_мова
0,5,Uzbek,http://dbpedia.org/resource/Uzbekistan,http://dbpedia.org/resource/Northern_Uzbek http://dbpedia.org/resource/Uzbek_language http://dbpedia.org/resource/Uzbek_phonology http://dbpedia.org/resource/O'zbek http://dbpedia.org/resource/Ўзбек http://dbpedia.org/resource/ISO_639:uzs http://dbpedia.org/resource/Ўзбекча http://dbpedia.org/resource/Oʻzbekcha http://dbpedia.org/resource/ISO_639:uzb http://dbpedia.org/resource/ISO_639:uz http://dbpedia.org/resource/Uz_(language) http://dbpedia.org/resource/Uzbecki http://dbpedia.org/resource/ISO_639:uzn http://dbpedia.org/resource/Uzbek_Language
0,6,Kazakh,http://dbpedia.org/resource/Germany,http://dbpedia.org/resource/ISO_639:kaz http://dbpedia.org/resource/Kazakhstani_language http://dbpedia.org/resource/Qazaqşa http://dbpedia.org/resource/ISO_639:kk http://dbpedia.org/resource/Kazak_language http://dbpedia.org/resource/Kazakh_language http://dbpedia.org/resource/Қазақша http://dbpedia.org/resource/Qazaq_language http://dbpedia.org/resource/Kazakh_Language
0,7,Georgian,http://dbpedia.org/resource/Georgia_(country),http://dbpedia.org/resource/Georigan_languge http://dbpedia.org/resource/Georgian_(language) http://dbpedia.org/resource/Nuclear_Georgian_language http://dbpedia.org/resource/Mtavruli http://dbpedia.org/resource/Middle_Georgian_language http://dbpedia.org/resource/ISO_639:ka http://dbpedia.org/resource/Middle_Georgian http://dbpedia.org/resource/ISO_639:kat http://dbpedia.org/resource/Kartuli http://dbpedia.org/resource/Georgian_Language_and_Alphabet http://dbpedia.org/resource/Georgian_language http://dbpedia.org/resource/Kartuli_Ena http://dbpedia.org/resource/Georgian_phonology http://dbpedia.org/resource/ISO_639:geo http://dbpedia.org/resource/Georgian_Language http://dbpedia.org/resource/ქართული_ენა http://dbpedia.org/resource/ქართული
0,8,Azerbaijani,http://dbpedia.org/resource/Azerbaijan,http://dbpedia.org/resource/Azerbaijani_Turkish http://dbpedia.org/resource/Azərbaycan_dili http://dbpedia.org/resource/South_Azerbaijani_language http://dbpedia.org/resource/Azerbaijani_Language http://dbpedia.org/resource/ISO_639:azb http://dbpedia.org/resource/South_Azeri_language http://dbpedia.org/resource/Azeri_phonology http://dbpedia.org/resource/North_Azerbaijani_language http://dbpedia.org/resource/South_Azeri http://dbpedia.org/resource/North_Azeri_language http://dbpedia.org/resource/Southern_Azerbaijani_language http://dbpedia.org/resource/تۆرکجه http://dbpedia.org/resource/Southern_Azeri_language http://dbpedia.org/resource/Aynallu_language http://dbpedia.org/resource/Azerbaijani_language http://dbpedia.org/resource/Southern_Azeri http://dbpedia.org/resource/Azerbaijani_language_dialects http://dbpedia.org/resource/Tabrizi_dialect http://dbpedia.org/resource/South_Azerbaijani http://dbpedia.org/resource/Dialects_of_the_Azerbaijani_language http://dbpedia.org/resource/Azerbaijani_phonology http://dbpedia.org/resource/Dialects_of_Azerbaijani_language http://dbpedia.org/resource/ISO_639:aze http://dbpedia.org/resource/Azerbaycanca http://dbpedia.org/resource/Azeri_Turkish http://dbpedia.org/resource/Azerbaijani_(language) http://dbpedia.org/resource/Azeri_Turkish_language http://dbpedia.org/resource/North_Azeri http://dbpedia.org/resource/Azərbaycanca http://dbpedia.org/resource/ISO_639:az http://dbpedia.org/resource/Azeri_language http://dbpedia.org/resource/Azerbagdzhan http://dbpedia.org/resource/Southern_Azerbaijani http://dbpedia.org/resource/AZJ http://dbpedia.org/resource/Azarbaijani_language http://dbpedia.org/resource/S-Azeri_language http://dbpedia.org/resource/Azerbaijani_Turkish_language http://dbpedia.org/resource/Azerbaijanian_language http://dbpedia.org/resource/North_Azerbaijani http://dbpedia.org/resource/ISO_639:azj http://dbpedia.org/resource/Azerbaijan_language
0,9,Lithuanian,http://dbpedia.org/resource/Poland,http://dbpedia.org/resource/Standard_Lithuanian http://dbpedia.org/resource/ISO_639:olt http://dbpedia.org/resource/Lithuanian_(language) http://dbpedia.org/resource/Lithuanian_language_(disambiguation) http://dbpedia.org/resource/Liethuvim http://dbpedia.org/resource/Lithuanian_Language http://dbpedia.org/resource/Lietuvių_kalba http://dbpedia.org/resource/ISO_639:lit http://dbpedia.org/resource/Lietuviu http://dbpedia.org/resource/Lithuanian_word http://dbpedia.org/resource/Lithuanian-language http://dbpedia.org/resource/Lithuanian_language http://dbpedia.org/resource/Lithuanian_adjective http://dbpedia.org/resource/Lietuvių http://dbpedia.org/resource/ISO_639:lt http://dbpedia.org/resource/Old_Lithuanian_language http://dbpedia.org/resource/Old_Lithuanian
0,10,Finnish,http://dbpedia.org/resource/Finland,http://dbpedia.org/resource/Finnish_syntax http://dbpedia.org/resource/Torne_Valley_dialect http://dbpedia.org/resource/Suomen_kieli http://dbpedia.org/resource/Gällivare_dialects http://dbpedia.org/resource/Finnish_(language) http://dbpedia.org/resource/Finnophone http://dbpedia.org/resource/Suomeksi http://dbpedia.org/resource/Finnish_dialects http://dbpedia.org/resource/Finnish_language http://dbpedia.org/resource/Idioma_finés http://dbpedia.org/resource/ISO_639:fin http://dbpedia.org/resource/Finnish-language http://dbpedia.org/resource/ISO_639:fi http://dbpedia.org/resource/Finnish_Language http://dbpedia.org/resource/Dialect_of_Finnish
