F1: 0.00000,Precision: 0.00000,Recall: 0.00000,,
Col,Row,Value,Submitted URI,Correct URI's
2,1,SPAL,"http://dbpedia.org/resource/Spall,_Germany",http://dbpedia.org/resource/SPAL_1907 http://dbpedia.org/resource/Spal_1907 http://dbpedia.org/resource/History_of_S.P.A.L._2013 http://dbpedia.org/resource/Spal http://dbpedia.org/resource/Spal_Ferrara http://dbpedia.org/resource/Real_S.p.a.l. http://dbpedia.org/resource/S.P.A.L._Calcio http://dbpedia.org/resource/Real_Spal http://dbpedia.org/resource/SPAL_2013 http://dbpedia.org/resource/Spal_Calcio http://dbpedia.org/resource/SPAL_Calcio http://dbpedia.org/resource/S.P.A.L. http://dbpedia.org/resource/S.P.A.L._2013 http://dbpedia.org/resource/Real_SPAL http://dbpedia.org/resource/SPAL
2,2,Reggiana,,http://dbpedia.org/resource/Reggio_Emilia_Football_Club http://dbpedia.org/resource/Reggio_Emilia_FC http://dbpedia.org/resource/AC_Reggiana_1919 http://dbpedia.org/resource/A_C_Reggiana_1919 http://dbpedia.org/resource/A._C._Reggiana_1919 http://dbpedia.org/resource/A.C._Reggiana_1919 http://dbpedia.org/resource/Reggio_Emilia_F.C. http://dbpedia.org/resource/A.C._Reggiana http://dbpedia.org/resource/AC_Reggiana
2,3,Parma,http://dbpedia.org/resource/Parma,http://dbpedia.org/resource/Parma_F._C. http://dbpedia.org/resource/Parma_1913_F.C. http://dbpedia.org/resource/Parma_Football_Club http://dbpedia.org/resource/Verdi_Football_Club http://dbpedia.org/resource/AC_Parma http://dbpedia.org/resource/Parma_Associazione_Calcio http://dbpedia.org/resource/Parma_AC http://dbpedia.org/resource/Associazione_Sportiva_Parma http://dbpedia.org/resource/A.C._Parma http://dbpedia.org/resource/Parma_F_C http://dbpedia.org/resource/Parma_Calcio_1913 http://dbpedia.org/resource/Fc_Parma http://dbpedia.org/resource/Associazione_Calcio_Parmense http://dbpedia.org/resource/Parma_ac http://dbpedia.org/resource/S.S.D._Parma_Calcio_1913 http://dbpedia.org/resource/Parma_A.C. http://dbpedia.org/resource/Parma_F.C. http://dbpedia.org/resource/Parma_FC http://dbpedia.org/resource/F.C._Parma http://dbpedia.org/resource/A.C._Parmense http://dbpedia.org/resource/Associazione_Calcio_Parma
2,5,Bologna B,http://dbpedia.org/resource/Bologna,http://dbpedia.org/resource/FC_Bologna http://dbpedia.org/resource/Bologna_FC_1909 http://dbpedia.org/resource/Bologna_F.C. http://dbpedia.org/resource/Bologna_Football_Club_1909 http://dbpedia.org/resource/Bologna_F.C._1909 http://dbpedia.org/resource/Bologna_F_C_1909 http://dbpedia.org/resource/AC_Bologna http://dbpedia.org/resource/Bologna_F._C._1909 http://dbpedia.org/resource/Bologna_FC
2,6,Carpi,"http://dbpedia.org/resource/Carpi,_Emilia-Romagna",http://dbpedia.org/resource/Carpi_F._C._1909 http://dbpedia.org/resource/Carpi_F_C_1909 http://dbpedia.org/resource/Carpi_Football_Club_1909 http://dbpedia.org/resource/Carpi_FC_1909 http://dbpedia.org/resource/Carpi_F.C._1909
2,7,ForlÃ¬,http://dbpedia.org/resource/Forlì,http://dbpedia.org/resource/F.C._Forlì
2,8,Piacenza,http://dbpedia.org/resource/Piacenza,http://dbpedia.org/resource/Piacenza_F.C. http://dbpedia.org/resource/Piacenza_Football_Club http://dbpedia.org/resource/SSD_Piacenza_Calcio_1919 http://dbpedia.org/resource/Lupa_Piacenza http://dbpedia.org/resource/Piacenza_Calcio_F.C. http://dbpedia.org/resource/S.S.D._Piacenza_Calcio_1919 http://dbpedia.org/resource/Lupa_Piacenza_S.S.D. http://dbpedia.org/resource/Piacenza_Calcio_1919 http://dbpedia.org/resource/F.C._Piacenza http://dbpedia.org/resource/Piacenza_Calcio
2,9,Russi,,http://dbpedia.org/resource/U.S._Russi http://dbpedia.org/resource/U_S_Russi http://dbpedia.org/resource/US_Russi http://dbpedia.org/resource/U._S._Russi
2,10,Mantova,http://dbpedia.org/resource/Mantua,http://dbpedia.org/resource/A._C._Mantova http://dbpedia.org/resource/AC_Mantova http://dbpedia.org/resource/Mantova_FC http://dbpedia.org/resource/A.C._Mantova http://dbpedia.org/resource/Mantova_Calcio http://dbpedia.org/resource/Mantova_F.C. http://dbpedia.org/resource/A_C_Mantova
2,11,Ravenna,http://dbpedia.org/resource/Ravenna,http://dbpedia.org/resource/Ravenna_Football_Club http://dbpedia.org/resource/Ravenna_F.C. http://dbpedia.org/resource/Ravenna_Calcio http://dbpedia.org/resource/S.C._Ravenna_Sport_2019 http://dbpedia.org/resource/Ravenna_FC
2,13,Molinella[4],,http://dbpedia.org/resource/Molinella_Calcio_1911
