F1: 0.08696,Precision: 0.08696,Recall: 0.08696,,
Col,Row,Value,Submitted URI,Correct URI's
2,9,Best Actor in a Supporting Role,http://dbpedia.org/resource/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role,"http://dbpedia.org/resource/Oscar_for_Best_Supporting_Actor http://dbpedia.org/resource/Best_Supporting_Actor,_Oscars http://dbpedia.org/resource/Best_Supporting_Actor_Oscar http://dbpedia.org/resource/Academy_Award_for_Best_Actor_in_a_Supporting_Role http://dbpedia.org/resource/List_of_Best_Supporting_Actor_nominees http://dbpedia.org/resource/Academy_Awards/Best_Supporting_Actor http://dbpedia.org/resource/List_of_Best_Supporting_Actor_nominees_(by_actor) http://dbpedia.org/resource/Academy_Award_for_Best_Supporting_Actor http://dbpedia.org/resource/List_of_Best_Supporting_Actor_nominees_(films) http://dbpedia.org/resource/List_of_Best_Supporting_Actor_nominees_(by_movie_title) http://dbpedia.org/resource/Academy_award_for_best_supporting_actor"
2,11,Grand Prix,http://dbpedia.org/resource/ISU_Grand_Prix_of_Figure_Skating,http://dbpedia.org/resource/Grand_Prix_(Belgian_Film_Critics_Association) http://dbpedia.org/resource/Grand_Prix_(Belgian_Syndicate_of_Cinema_Critics)
2,12,Best Supporting Actor,http://dbpedia.org/resource/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role,http://dbpedia.org/resource/Boston_Society_of_Film_Critics_Award_for_Best_Supporting_Actor http://dbpedia.org/resource/Boston_society_of_film_critics_award_for_best_supporting_actor
2,13,Palme d'Or,http://dbpedia.org/resource/Palmanova,http://dbpedia.org/resource/Palme_d'Or
2,14,Best Picture,http://dbpedia.org/resource/Film,http://dbpedia.org/resource/Chicago_film_critics_association_award_for_best_film http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Film http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Picture
2,15,Best Director,http://dbpedia.org/resource/Music_director,http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Director http://dbpedia.org/resource/Chicago_Film_Critics_Association_Awards_for_Best_Director http://dbpedia.org/resource/Chicago_film_critics_association_award_for_best_director
2,16,Best Supporting Actor,http://dbpedia.org/resource/BAFTA_Award_for_Best_Actor_in_a_Supporting_Role,http://dbpedia.org/resource/Chicago_Film_Critics_Association_Award_for_Best_Supporting_Actor http://dbpedia.org/resource/Chicago_film_critics_association_award_for_best_supporting_actor
2,17,Best Motion Picture â\u0080\u0093 Drama,http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Actor_–_Motion_Picture_Drama,http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Motion_Picture_–_Drama
2,19,Best Director â\u0080\u0093 Motion Picture,http://dbpedia.org/resource/Cinema_of_the_United_States,"http://dbpedia.org/resource/List_of_Golden_Globe_Awards:_Film,_Best_Director http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Director_–_Motion_Picture http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Director http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Director_-_Motion_Picture http://dbpedia.org/resource/Golden_Globe_Award_for_Best_Director_—_Motion_Picture"
