v10_1538_2,2,1,P. Jianwei,http://dbpedia.org/resource/Pan_Jianwei
v10_1538_2,2,2,A. Caldeira,http://dbpedia.org/resource/Amir_Caldeira
v10_1538_2,2,3,F. Kaashoek,http://dbpedia.org/resource/Frans_Kaashoek
v10_1538_2,2,4,C. Crawford,http://dbpedia.org/resource/Carolin_Crawford
v10_1538_2,2,5,K. Novoselov,http://dbpedia.org/resource/Konstantin_Novoselov
v10_1538_2,2,6,R. J. Spatzier,http://dbpedia.org/resource/Ralf_J._Spatzier
v10_1538_2,2,7,A. Turing,http://dbpedia.org/resource/Alan_Turing
v10_1538_2,2,8,B. Bellush,http://dbpedia.org/resource/Bernard_Bellush
v10_1538_2,2,9,A. P. Balachandran,http://dbpedia.org/resource/A._P._Balachandran
v10_1538_2,2,10,University of the Saarland,http://dbpedia.org/resource/Saarland_University
v10_1538_2,2,11,A. Einstein,http://dbpedia.org/resource/Albert_Einstein
v10_1538_2,2,12,PhD,http://dbpedia.org/resource/Ph.D._(band)
v10_1538_2,2,13,P. Mocanu,http://dbpedia.org/resource/Petru_Mocanu
v10_1538_2,2,14,S. Bianchini,http://dbpedia.org/resource/Francesco_Bianchini
v10_1538_2,2,15,D. Kramkov,http://dbpedia.org/resource/Dmitry_Kramkov
v10_1538_2,2,16,I. I. Rabi,http://dbpedia.org/resource/Isidor_Isaac_Rabi
v10_1538_2,2,17,N. Copernicus,http://dbpedia.org/resource/Nicolaus_Copernicus
v10_1538_2,2,18,M. M. Qurashi,http://dbpedia.org/resource/Mazhar_Mahmood_Qurashi
v10_1538_2,2,19,R. Gandy,http://dbpedia.org/resource/Robin_Gandy
