F1: 0.29167,Precision: 0.29167,Recall: 0.29167,,
Col,Row,Value,Submitted URI,Correct URI's
2,2,Hainan Island incident: A United States intelligence aircraft was intercepted and forced to make an emergency landing on Hainan.,http://dbpedia.org/resource/Allies_of_World_War_II,http://dbpedia.org/resource/US-China_Spy_Plane_Incident http://dbpedia.org/resource/Letter_of_two_sorries http://dbpedia.org/resource/Hainan_spy_plane_incident http://dbpedia.org/resource/Hainan_incident http://dbpedia.org/resource/U.S.-China_spy_plane_incident http://dbpedia.org/resource/Hainan_Island_incident http://dbpedia.org/resource/Wang_Wei_(pilot) http://dbpedia.org/resource/Letter_of_the_two_sorries http://dbpedia.org/resource/Hainan_island_incident http://dbpedia.org/resource/U.S.-China_Spy_Plane_Incident
2,3,"World Trade Organization Ministerial Conference of 2001: China joined the World Trade Organization, subjecting it to that body's free trade and dispute resolution agreements.",http://dbpedia.org/resource/United_Nations,http://dbpedia.org/resource/WTO_Ministerial_Conference_of_2001 http://dbpedia.org/resource/Doha_Ministerial_Conference http://dbpedia.org/resource/World_Trade_Organization_Ministerial_Conference_of_2001 http://dbpedia.org/resource/WTO_ministerial_meeting_in_Doha
2,7,Jiang Zemin resigned his position as chairman of the Central Military Commission of the CPC.,http://dbpedia.org/resource/Chairman_of_the_Central_Military_Commission,"http://dbpedia.org/resource/Jiang,_Zemin http://dbpedia.org/resource/Chiang_Tse-min http://dbpedia.org/resource/Jiang_zemin http://dbpedia.org/resource/Jiang_Ze_Min http://dbpedia.org/resource/Jiang_Zémín http://dbpedia.org/resource/Chiang_Tsemin http://dbpedia.org/resource/Jiang_Zemin http://dbpedia.org/resource/Zemin_jiang http://dbpedia.org/resource/Wang_Yeh-ping http://dbpedia.org/resource/江澤民 http://dbpedia.org/resource/Jiang_Zeming http://dbpedia.org/resource/江泽民 http://dbpedia.org/resource/Jiāng_Zémín http://dbpedia.org/resource/Ziang_Jemin http://dbpedia.org/resource/Zemin_Jiang http://dbpedia.org/resource/Jiangzemin http://dbpedia.org/resource/Wang_Yeh-p'ing http://dbpedia.org/resource/Chiang_Tse-Min"
2,9,2005 anti-Japanese demonstrations: Mass demonstrations against Japan took place.,http://dbpedia.org/resource/2014_pro-Russian_unrest_in_Ukraine,"http://dbpedia.org/resource/2005_anti-Japanese_demonstrations http://dbpedia.org/resource/Anti_japanese_riots http://dbpedia.org/resource/Anti_japanese_riot http://dbpedia.org/resource/Anti-japanese_riots http://dbpedia.org/resource/Anti-Japanese_demonstrations,_2005 http://dbpedia.org/resource/2005_Anti-Japanese_demonstrations http://dbpedia.org/resource/Spring_2005_anti-Japanese_demonstrations_in_China http://dbpedia.org/resource/Anti-Japanese_Riots"
2,10,2005 Jilin chemical plant explosions: A series of explosions at a chemical plant in Jilin City killed six and forced the evacuation of tens of thousands.,http://dbpedia.org/resource/Professional_wrestling_match_types,http://dbpedia.org/resource/2005_Jilin_chemical_plant_explosions http://dbpedia.org/resource/Jilin_chemical_plant_explosions_2005 http://dbpedia.org/resource/Songhua_River_pollution
2,12,"Zheng Xiaoyu, the former head of the State Food and Drug Administration, was executed for corruption.",http://dbpedia.org/resource/Ottoman_Empire,http://dbpedia.org/resource/Zheng_Xiaoyu http://dbpedia.org/resource/郑筱萸
2,15,2008 Chinese winter storms: A series of severe winter storms began which would claim over a hundred lives.,http://dbpedia.org/resource/Professional_wrestling_match_types,http://dbpedia.org/resource/January_2008_Chinese_winter_storms http://dbpedia.org/resource/2008_Chinese_winter_storms http://dbpedia.org/resource/2008_Chinese_winter_storm
2,16,2008 Lhasa violence: Riots and ethnic violence against the Han and Hui peoples took place in the Tibetan capital Lhasa.,http://dbpedia.org/resource/2010_South_Kyrgyzstan_ethnic_clashes,http://dbpedia.org/resource/2008_Lhasa_riots http://dbpedia.org/resource/2008_Lhasa_violence
2,18,2008 Sichuan earthquake: An earthquake with its epicenter in Wenchuan County killed nearly seventy thousand people.,,"http://dbpedia.org/resource/Great_Sichuan_earthquake http://dbpedia.org/resource/2008_Sichuan_earthquake http://dbpedia.org/resource/Sichuan_earthquake_cloud http://dbpedia.org/resource/May_2008_Sichuan_earthquake http://dbpedia.org/resource/2008_Wenchuan_earthquake http://dbpedia.org/resource/2008_earthquake_in_China http://dbpedia.org/resource/四川大地震 http://dbpedia.org/resource/Great_Sichuan_Earthquake_(2008) http://dbpedia.org/resource/2008_PRC_earthquake http://dbpedia.org/resource/Chengdu_quake http://dbpedia.org/resource/2008_WenChuan_earthquakes http://dbpedia.org/resource/Wenchuan_Earthquake http://dbpedia.org/resource/汶川大地震 http://dbpedia.org/resource/2008_Chengdu_quake http://dbpedia.org/resource/2008_earthquake_in_PRC http://dbpedia.org/resource/2008_Chinese_earthquake http://dbpedia.org/resource/Great_Sichuan_Earthquake http://dbpedia.org/resource/Sichuan_earthquake,_2008 http://dbpedia.org/resource/2008_central_China_earthquake http://dbpedia.org/resource/2008_China_earthquake http://dbpedia.org/resource/2008_Southwestern_China_earthquake http://dbpedia.org/resource/Sìchuān_dà_dìzhèn http://dbpedia.org/resource/PRC_earthquake_2008 http://dbpedia.org/resource/2008_Chengdu_earthquake http://dbpedia.org/resource/Beichuan_Earthquake http://dbpedia.org/resource/2008_earthquake_in_the_PRC http://dbpedia.org/resource/Sichuan_Earthquake_of_2008 http://dbpedia.org/resource/Alatanbagen_Taoqi http://dbpedia.org/resource/2008_Wenchuan_Earthquake http://dbpedia.org/resource/2008_Sichuan_Earthquake http://dbpedia.org/resource/Wenchuan_earthquake http://dbpedia.org/resource/Beichuan_earthquake http://dbpedia.org/resource/2008_Sichuan_Province_earthquake http://dbpedia.org/resource/2008_Chengdu_Earthquake http://dbpedia.org/resource/May_12_earthquake http://dbpedia.org/resource/2008_SW_China_earthquake http://dbpedia.org/resource/2008_Southwest_China_earthquake http://dbpedia.org/resource/12_May_2008_Sichuan_earthquake http://dbpedia.org/resource/5.12_earthquake http://dbpedia.org/resource/2008_Wuhan_earthquake"
